9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
17,Ana Cecilia CANTU,MEX,24,35.62,19.58,17.04,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2F,e,1.7,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
2,3S+2T,,5.8,False,-1.8,-2,-2,-2,-1,-1,-1,-3,-2,-2,,4.0
3,FSSp4,,3.0,False,0.0,0,0,0,0,0,0,0,0,0,,3.0
4,SpSq4,,3.4,False,0.2,0,0,0,0,0,1,1,0,0,,3.6
5,2A,,3.5,False,-1.6,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1.9
6,SlSt3,,3.3,False,0.0,0,0,0,0,0,0,0,0,0,,3.3
7,LSp1,,1.5,False,0.0,0,0,0,0,0,0,0,0,1,,1.5
8,CCoSp1,,2.0,False,-0.42,-2,-1,0,-3,-2,-2,-1,-1,0,,1.58
,,,24.2,,,,,,,,,,,,,19.58
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,4.5,4.0,4.5,5.0,4.25,5.0,4.75,3.75,4.0,,4.55
,Transition / Linking Footwork  ,,,,0.8,4.0,3.75,4.25,3.75,3.25,4.5,4.0,2.75,3.75,,3.95
,Performance / Execution  ,,,,0.8,4.5,4.0,4.5,4.75,3.75,4.75,4.5,3.5,4.25,,4.45
,Choreography / Composition  ,,,,0.8,3.75,4.0,4.25,4.5,3.75,5.0,4.75,3.0,3.75,,4.25
,Interpretation  ,,,,0.8,3.75,4.0,4.25,4.0,4.0,4.5,4.5,3.25,4.0,,4.1
,,,,,,,,,,,,,,,,17.04
Deduction,Time violation,-1.0
