9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Emily SAMUELSON / Evan BATES,USA,5,51.49,27.4,24.09,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CiSt3,,7.2,False,1.0,1,0,1,1,1,1,1,1,1,,8.2
2,SlLi4,,5.0,False,0.4,1,1,1,1,0,1,1,0,0,,5.4
3,SqTw4,,6.5,False,0.3,1,1,1,0,0,1,0,1,1,,6.8
4,NtMiSt3,,7.0,False,0.0,0,0,1,0,0,1,0,1,0,,7.0
5,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,25.7,,,,,,,,,,,,,27.4
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,6.5,6.5,6.0,6.75,6.5,6.25,6.5,6.25,,6.35
,Linking Footwork / Movement  ,,,,0.8,6.0,6.25,6.5,5.75,6.5,6.25,6.0,6.25,4.75,,6.05
,Performance  ,,,,0.6,5.75,7.0,6.75,6.25,6.5,6.75,6.25,6.5,6.75,,6.5
,Choreography  ,,,,0.6,6.0,7.0,6.75,6.25,6.75,6.75,6.25,6.5,6.25,,6.45
,Interpretation / Timing  ,,,,1.0,6.25,6.5,7.0,6.25,6.75,7.0,6.25,7.0,6.25,,6.4
,,,,,,,,,,,,,,,,24.09
