9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Caroline ZHANG,USA,7,57.26,32.3,24.96,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+2T,,6.8,False,-0.2,-1,0,0,0,-1,0,-1,0,0,,6.6
2,3Lo,,5.0,False,-0.2,-1,-1,0,0,-1,0,0,0,0,,4.8
3,CiSt2,,2.3,False,0.1,0,0,1,0,-1,0,0,1,1,,2.4
4,FSSp4,,3.0,False,0.0,0,0,0,0,0,0,-1,0,0,,3.0
5,2A,,3.5,False,-0.8,-1,-1,-1,-1,-1,-1,-1,0,-1,,2.7
6,SpSq3,,3.1,False,1.0,1,2,2,2,3,2,1,2,1,,4.1
7,CCoSp4,,3.5,False,1.0,2,2,2,2,2,1,2,2,1,,4.5
8,LSp4,,2.7,False,1.5,3,3,2,3,3,3,3,3,2,,4.2
,,,29.9,,,,,,,,,,,,,32.3
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,5.75,6.75,7.0,5.25,6.0,5.0,6.75,6.25,,6.1
,Transition / Linking Footwork  ,,,,0.8,6.25,5.75,6.0,7.0,5.75,5.75,5.5,6.25,6.0,,5.9
,Performance / Execution  ,,,,0.8,6.75,6.5,6.75,7.0,6.5,6.0,5.75,6.5,6.0,,6.45
,Choreography / Composition  ,,,,0.8,6.25,6.25,6.75,7.25,6.25,6.0,6.0,6.75,6.0,,6.4
,Interpretation  ,,,,0.8,6.5,6.25,7.25,7.0,6.25,5.75,5.0,6.5,6.25,,6.35
,,,,,,,,,,,,,,,,24.96
