9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Huibo DONG / Yiming WU,CHN,3,94.75,54.63,41.12,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+2T,,5.3,False,0.4,0,-1,0,1,1,0,1,0,0,,5.7
2,3S,,4.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.5
3,3LzTw1,,5.0,False,0.28,0,0,0,1,1,0,0,1,0,,5.28
4,FCCoSp2,,2.5,False,-0.12,0,0,0,-1,-1,-1,0,-1,0,,2.38
5,5TLi3,,5.5,False,0.2,0,0,0,1,1,-2,0,1,0,,5.7
6,3LoTh,,5.5,True,1.12,1,1,1,2,2,0,2,1,2,,6.62
7,3STh,,4.95,True,0.7,1,1,1,1,1,0,1,0,1,,5.65
8,SpSq3,,3.1,False,0.0,0,0,0,0,0,0,0,0,0,,3.1
9,5ALi3,,6.6,True,0.2,0,-1,0,0,2,0,1,0,0,,6.8
10,BiDs2,,3.0,False,0.0,0,-1,0,0,0,-1,0,0,-1,,3.0
11,3Li4,,4.4,True,0.0,0,0,0,0,1,0,0,0,0,,4.4
12,PCoSp4,,4.5,False,0.0,0,-1,0,0,0,0,0,0,-1,,4.5
,,,54.85,,,,,,,,,,,,,54.63
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.5,5.75,5.25,6.0,5.5,5.5,6.0,5.25,5.5,,5.55
,Transition / Linking Footwork  ,,,,1.6,4.5,4.5,4.5,5.25,5.0,4.75,5.5,4.75,5.0,,4.9
,Performance / Execution  ,,,,1.6,4.75,5.5,5.0,5.75,5.5,5.0,5.25,5.0,5.25,,5.2
,Choreography / Composition  ,,,,1.6,4.5,4.75,5.0,5.75,4.75,5.0,5.75,5.0,5.25,,5.15
,Interpretation  ,,,,1.6,4.25,4.75,4.5,5.5,4.75,4.75,5.25,5.0,5.0,,4.9
,,,,,,,,,,,,,,,,41.12
Deduction,Falls,-1.0
