9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Maria MUKHORTOVA / Maxim TRANKOV,RUS,6,66.88,38.0,28.88,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3LzTw1,,5.0,False,0.7,1,0,0,2,1,1,1,1,0,,5.7
2,3T,,4.0,False,0.4,0,1,0,-1,-1,1,2,1,1,,4.4
3,3LoTh,,5.0,False,0.84,1,1,1,1,2,1,2,1,1,,5.84
4,BoDs4,,4.5,False,0.56,0,1,0,1,1,0,1,1,2,,5.06
5,FCCoSp4,,3.5,False,0.4,1,0,0,1,1,1,2,0,0,,3.9
6,4Li4,,4.0,False,0.5,1,1,1,2,1,1,1,1,0,,4.5
7,SlSt3,,3.3,False,0.3,0,1,0,1,0,0,1,1,1,,3.6
8,PCoSp4,,4.5,False,0.5,1,0,1,2,2,0,0,2,0,,5.0
,,,33.8,,,,,,,,,,,,,38.0
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.75,7.0,6.5,7.5,7.0,7.5,7.5,7.75,7.5,,7.4
,Transition / Linking Footwork  ,,,,0.8,6.5,6.75,6.25,6.75,6.5,6.75,7.5,7.25,7.0,,6.85
,Performance / Execution  ,,,,0.8,7.0,7.25,6.75,7.25,7.25,7.25,7.5,7.5,7.5,,7.35
,Choreography / Composition  ,,,,0.8,7.0,7.0,6.5,7.25,6.75,7.25,7.5,7.5,7.25,,7.25
,Interpretation  ,,,,0.8,6.75,7.25,6.5,7.5,7.0,7.0,7.5,7.75,7.25,,7.25
,,,,,,,,,,,,,,,,28.88
