9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,DOMNINA Oksana / SHABALIN Maxim,RUS,18,43.76,21.92,21.84,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1S1,,2.9,False,1.4,2,2,2,2,2,2,2,1,2,,4.3
2,1S2,,1.6,False,0.7,2,1,1,1,2,2,2,1,2,,2.3
3,1S3,,2.4,False,0.9,2,2,2,2,3,1,1,1,2,,3.3
4,2S1,,3.2,False,1.4,2,1,2,2,2,2,2,2,2,,4.6
5,2S2,,2.3,False,0.9,2,2,1,1,2,1,2,2,2,,3.2
6,2S3,,3.1,False,1.12,2,2,1,1,3,1,2,1,2,,4.22
,,,15.5,,,,,,,,,,,,,21.92
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,8.75,8.75,8.75,8.75,8.5,8.5,8.75,8.5,8.75,,8.75
,Timing  ,,,,0.75,8.5,8.5,8.5,8.75,8.25,8.25,8.5,8.25,8.5,,8.5
,Performance / Execution  ,,,,0.5,9.0,8.75,8.75,8.75,8.5,8.5,9.0,8.25,8.75,,8.8
,Interpretation  ,,,,0.5,9.0,9.0,8.75,9.25,8.75,8.25,9.25,8.25,9.0,,9.0
,,,,,,,,,,,,,,,,21.84
