9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
26,ZIEGLER Miriam,AUT,3,43.84,24.8,20.04,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz<,<,1.9,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.9
2,3S+2T,,5.8,False,0.8,0,1,0,1,1,1,1,1,1,,6.6
3,LSp3,,2.4,False,0.2,1,0,0,0,0,0,0,1,1,,2.6
4,SpSq4,,3.4,False,1.0,1,1,0,1,1,1,1,1,2,,4.4
5,1A<,<,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
6,FSSp4,,3.0,False,0.1,0,0,1,0,0,1,0,0,0,,3.1
7,SlSt3,,3.3,False,0.0,0,0,0,0,0,0,0,0,1,,3.3
8,CCoSp4,,3.5,False,0.4,1,1,1,1,0,0,0,1,1,,3.9
,,,23.3,,,,,,,,,,,,,24.8
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.0,4.75,5.25,5.0,5.5,4.5,5.75,5.5,,5.25
,Transitions / Linking Footwork  ,,,,0.8,4.75,5.5,4.5,4.75,4.5,5.0,4.25,4.75,5.25,,4.75
,Performance / Execution  ,,,,0.8,5.25,5.75,4.5,5.0,4.75,5.5,4.5,4.75,5.0,,4.9
,Choreography / Composition  ,,,,0.8,5.25,5.25,5.25,5.25,4.75,5.0,4.5,5.25,5.0,,5.15
,Interpretation  ,,,,0.8,5.25,5.0,5.0,5.25,4.5,5.25,4.25,4.5,5.0,,5.0
,,,,,,,,,,,,,,,,20.04
Deduction,Falls,-1.0
