9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,KOVALEVSKI Anton,UKR,5,102.09,49.99,55.1,-3.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A<,<,3.5,False,-1.12,-2,-2,-1,-1,-2,-2,-1,-2,-1,,2.38
2,3Lz+3T,,10.0,False,-2.6,-3,-3,-2,-2,-3,-3,-2,-3,-3,,7.4
3,2A+3T,,7.5,False,-2.2,-3,-2,-2,-2,-2,-2,-2,-2,-3,,5.3
4,3F,e,5.5,False,-1.8,-2,-1,-2,-1,-2,-2,-1,-2,-2,,3.7
5,3Lo,,5.0,False,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,4.0
6,CSSp3,,2.6,False,0.0,0,0,0,0,0,0,1,0,0,,2.6
7,SlSt3,,3.3,False,0.0,0,0,0,0,1,0,0,0,-1,,3.3
8,3Lz+2T+2T,,9.46,True,-0.2,0,0,-1,0,0,0,0,-1,0,,9.26
9,1S,,0.44,True,-0.14,-2,-2,0,-1,-1,-1,-1,-2,-2,,0.3
10,FSSp3,,2.6,False,0.0,0,0,0,0,1,0,0,0,0,,2.6
11,CiSt2,,2.3,False,-0.6,-2,-2,-3,-2,-2,-2,-2,-2,-2,,1.7
12,2A,,3.85,True,0.4,0,0,0,1,1,0,0,1,0,,4.25
13,CCoSp3,,3.0,False,0.2,0,1,1,1,1,0,0,0,0,,3.2
,,,59.05,,,,,,,,,,,,,49.99
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,5.0,5.5,5.5,5.75,5.75,7.5,5.75,5.75,5.75,,5.7
,Transitions / Linking Footwork  ,,,,2.0,4.25,4.75,4.75,5.25,5.25,7.25,5.75,6.0,5.5,,5.3
,Performance / Execution  ,,,,2.0,4.75,4.75,5.0,5.5,6.0,7.25,5.5,5.75,5.5,,5.45
,Choreography / Composition  ,,,,2.0,5.0,5.0,5.5,5.75,5.5,7.25,6.0,6.25,5.25,,5.6
,Interpretation  ,,,,2.0,4.5,5.25,5.0,5.5,5.5,7.5,5.75,6.0,5.75,,5.5
,,,,,,,,,,,,,,,,55.1
Deduction,Falls,-3.0
