9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,LAMBIEL Stephane,SUI,19,84.63,41.48,43.15,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2A,,3.5,False,1.2,1,1,1,1,2,2,1,3,1,,4.7
2,4T+2T,,11.1,False,-1.92,-1,-2,-1,-2,-1,-2,-1,-2,-1,,9.18
3,3F,,5.5,False,0.2,0,0,0,1,0,1,0,0,1,,5.7
4,CiSt3,,3.3,False,0.7,1,1,1,2,2,1,2,3,2,,4.0
5,CSSp4,,3.0,False,1.2,2,1,3,2,3,2,3,2,2,,4.2
6,SlSt3,,3.3,False,1.4,2,1,3,3,3,3,3,2,3,,4.7
7,FSSp4,,3.0,False,1.1,2,2,2,3,3,2,2,2,3,,4.1
8,CCoSp4,,3.5,False,1.4,3,2,3,3,3,3,2,3,3,,4.9
,,,36.2,,,,,,,,,,,,,41.48
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,8.5,8.25,8.75,8.5,8.25,8.0,8.75,9.0,8.75,,8.5
,Transitions / Linking Footwork  ,,,,1.0,8.25,8.25,8.75,8.25,7.75,8.0,8.75,8.75,7.75,,8.2
,Performance / Execution  ,,,,1.0,8.5,8.5,8.75,8.5,8.5,8.5,9.0,9.25,9.25,,8.65
,Choreography / Composition  ,,,,1.0,9.5,8.75,8.5,8.5,8.25,8.5,9.0,9.5,8.5,,8.65
,Interpretation  ,,,,1.0,9.5,8.75,9.5,8.75,9.25,8.75,9.0,9.5,9.25,,9.15
,,,,,,,,,,,,,,,,43.15
