9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Viktoria HELGESSON,SWE,16,105.47,54.91,50.56,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+2T+2Lo,,8.3,False,0.4,1,1,1,0,-1,0,0,0,1,,8.7
2,2F,,1.7,False,0.0,0,0,0,0,0,-1,0,1,0,,1.7
3,3Lo+2T,,6.3,False,0.2,0,1,1,1,0,0,0,0,0,,6.5
4,CSp4,,2.6,False,0.2,0,1,0,1,1,1,0,0,0,,2.8
5,3T,,4.0,False,1.0,1,1,1,1,1,0,1,1,1,,5.0
6,3Lo,,5.5,True,0.2,0,1,0,0,0,0,0,0,1,,5.7
7,SpSq4,,3.4,False,0.8,1,1,0,1,1,1,1,0,1,,4.2
8,2A+2A+SEQ,,6.16,True,0.2,0,1,0,-1,0,1,0,0,0,,6.36
9,3S,,4.95,True,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,3.95
10,FSSp3,,2.6,False,0.0,1,1,0,1,0,0,-1,0,0,,2.6
11,SlSt3,,3.3,False,0.3,0,1,1,1,1,1,0,0,0,,3.6
12,FCCoSp4,,3.5,False,0.3,1,1,1,1,0,1,0,0,1,,3.8
,,,52.31,,,,,,,,,,,,,54.91
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.75,6.75,6.75,6.25,6.0,6.0,5.75,6.75,6.5,,6.4
,Transition / Linking Footwork  ,,,,1.6,5.5,6.25,6.75,5.75,5.5,6.0,5.25,6.5,6.0,,6.05
,Performance / Execution  ,,,,1.6,5.75,6.5,7.0,6.0,6.25,6.75,5.5,6.5,6.75,,6.55
,Choreography / Composition  ,,,,1.6,5.75,6.75,7.0,6.25,5.75,6.25,5.0,6.75,6.5,,6.4
,Interpretation  ,,,,1.6,5.75,6.5,6.25,6.0,6.0,6.5,4.75,6.25,6.0,,6.2
,,,,,,,,,,,,,,,,50.56
