9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Julia SEBESTYEN,HUN,54,56.1,30.06,26.04,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,0.8,1,0,-1,2,1,1,1,1,0,,8.1
2,3F<,e,1.7,False,-0.54,1,-2,-2,-2,-2,-2,-3,-2,-1,,1.16
3,FCSp4,,3.2,False,0.4,0,2,1,0,2,1,1,1,0,,3.6
4,SpSq4,,3.4,False,0.6,0,0,1,1,1,1,1,1,0,,4.0
5,2A,,3.5,False,1.0,0,1,0,1,1,1,1,1,1,,4.5
6,LSp2,,1.9,False,0.0,0,0,0,0,0,0,-1,1,1,,1.9
7,CiSt3,,3.3,False,0.5,1,1,1,1,1,1,0,1,1,,3.8
8,CCoSp3,,3.0,False,0.0,0,0,1,0,0,1,0,2,0,,3.0
,,,27.3,,,,,,,,,,,,,30.06
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.75,7.0,6.5,7.0,7.25,7.0,6.5,6.25,6.0,,6.85
,Transition / Linking Footwork  ,,,,0.8,6.0,5.75,6.25,6.5,6.75,6.0,6.0,6.0,5.75,,6.05
,Performance / Execution  ,,,,0.8,6.5,7.25,6.5,7.0,7.5,6.75,5.75,6.25,6.0,,6.7
,Choreography / Composition  ,,,,0.8,7.0,6.75,6.5,6.75,7.0,6.5,5.5,6.0,5.5,,6.5
,Interpretation  ,,,,0.8,6.5,7.0,6.5,6.25,7.0,6.5,5.75,6.0,6.0,,6.45
,,,,,,,,,,,,,,,,26.04
