9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Corenne BRUHNS / Benjamin WESTENBERGER,MEX,4,47.87,24.95,22.92,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw3,,5.0,False,-0.86,-2,-1,-1,-1,-2,-2,-2,-3,-2,,4.14
2,CiSt2,,5.0,False,0.0,0,0,0,0,0,0,-1,0,0,,5.0
3,SlLi2+CuLi2,,5.0,False,0.11,0,0,0,1,1,0,0,0,0,,5.11
4,CoSp1,,2.0,False,-0.3,-1,0,-1,-1,-1,-1,-1,-1,-2,,1.7
5,MiSt1,,3.5,False,-0.14,0,0,0,0,0,-1,-1,0,-1,,3.36
6,RoLi4,,4.0,False,0.14,1,0,0,1,0,1,0,0,0,,4.14
7,CuLi1,,1.5,False,0.0,0,0,0,0,0,0,0,0,-1,,1.5
,,,26.0,,,,,,,,,,,,,24.95
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,4.0,3.75,4.25,4.0,4.0,3.0,4.25,4.25,3.5,,3.96
,Linking Footwork / Movement  ,,,,1.75,3.5,3.75,4.0,4.0,3.5,2.75,3.75,3.75,3.0,,3.61
,Performance  ,,,,1.0,4.25,4.0,4.0,4.25,3.75,2.75,4.0,4.0,2.75,,3.82
,Choreography  ,,,,1.0,4.5,4.0,4.0,4.5,3.75,2.75,4.0,4.25,3.75,,4.04
,Interpretation / Timing  ,,,,1.0,4.0,3.75,4.0,4.25,3.5,3.0,4.25,4.0,3.0,,3.79
,,,,,,,,,,,,,,,,22.92
