9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
16,Mark WEBSTER,AUS,6,48.26,24.61,23.65,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2A,,3.3,False,0.07,0,0,0,1,0,0,0,0,1,,3.37
2,3F+2T,,6.7,False,-0.1,0,-1,0,0,0,0,-1,0,0,,6.6
3,3Lo,,5.1,False,-1.0,-1,-2,-1,-1,-1,-2,-1,-2,-2,,4.1
4,FCSp1,,1.9,False,-0.21,0,-1,-1,0,-1,-1,-1,-1,0,,1.69
5,CiSt3,,3.3,False,-0.1,0,0,0,1,0,-1,-1,0,0,,3.2
6,CSSp3,,2.6,False,0.14,0,0,0,0,0,1,-1,1,1,,2.74
7,CCoSp3,,3.0,False,-0.09,0,0,0,0,-1,-1,-1,0,0,,2.91
,,,25.9,,,,,,,,,,,,,24.61
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.0,4.25,5.25,5.5,4.75,4.25,4.75,5.25,4.75,,4.86
,Transition / Linking Footwork  ,,,,1.0,4.75,4.5,5.0,4.75,4.25,4.0,4.5,5.0,4.5,,4.61
,Performance / Execution  ,,,,1.0,4.5,4.0,4.75,5.25,5.0,4.0,4.75,5.25,4.75,,4.71
,Choreography / Composition  ,,,,1.0,4.75,4.25,5.25,5.0,4.75,4.75,4.75,5.25,4.75,,4.86
,Interpretation  ,,,,1.0,4.5,4.5,4.5,5.5,4.75,4.5,4.5,5.0,4.5,,4.61
,,,,,,,,,,,,,,,,23.65
