9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Jeremy ABBOTT,USA,13,76.73,37.87,38.86,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+3T,,9.4,False,1.1,2,1,1,2,2,1,1,2,2,,10.5
2,3A,,8.5,False,1.43,1,1,1,3,2,1,1,2,2,,9.93
3,CSSp4,,3.0,False,0.5,1,1,0,1,1,1,1,1,2,,3.5
4,3Lz,,6.0,False,-0.3,0,0,-1,0,-1,-1,0,0,-1,,5.7
5,FUSp1,,1.7,False,-0.26,0,-1,-1,-1,0,-1,-1,-2,-1,,1.44
6,SlSt2,,2.3,False,0.71,1,2,1,3,1,1,1,2,2,,3.01
7,CCoSp3,,3.0,False,0.79,2,2,1,2,1,1,1,2,2,,3.79
,,,33.9,,,,,,,,,,,,,37.87
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.5,8.0,7.25,8.0,8.25,7.25,7.25,7.75,7.75,,7.64
,Transition / Linking Footwork  ,,,,1.0,7.5,7.75,7.0,8.0,8.0,7.0,7.0,7.25,8.0,,7.5
,Performance / Execution  ,,,,1.0,7.5,8.25,7.25,8.25,7.75,7.5,7.25,8.0,8.25,,7.79
,Choreography / Composition  ,,,,1.0,7.5,8.25,7.25,8.5,8.5,7.75,7.25,7.5,8.5,,7.89
,Interpretation  ,,,,1.0,7.5,8.5,7.75,8.5,8.25,7.75,7.5,8.0,8.5,,8.04
,,,,,,,,,,,,,,,,38.86
