Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Miki ANDO,JPN,172.21,3,56.11,1,116.1,2010-11-07,gpchn2010
2,Akiko SUZUKI,JPN,162.86,2,57.97,2,104.89,2010-11-07,gpchn2010
3,Alena LEONOVA,RUS,148.61,5,50.79,3,97.82,2010-11-07,gpchn2010
4,Mirai NAGASU,USA,146.23,1,58.76,5,87.47,2010-11-07,gpchn2010
5,Bingwa GENG,CHN,142.48,4,51.09,4,91.39,2010-11-07,gpchn2010
6,Amanda DOBBS,USA,132.45,7,46.73,6,85.72,2010-11-07,gpchn2010
7,Joshi HELGESSON,SWE,131.4,6,48.83,7,82.57,2010-11-07,gpchn2010
8,Kristine MUSADEMBA,USA,119.45,8,40.8,8,78.65,2010-11-07,gpchn2010
9,Min-Jeong KWAK,KOR,113.98,9,38.83,9,75.15,2010-11-07,gpchn2010
10,Diane SZMIETT,CAN,95.43,10,38.17,10,57.26,2010-11-07,gpchn2010
WD,Qiuying ZHU,CHN,35.61,11,35.61,WD,WD,2010-11-07,gpchn2010
