9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Takahiko KOZUKA,JPN,9,77.64,40.35,37.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+3T,,10.1,False,0.9,1,1,2,2,2,1,1,1,1,,11.0
2,3A,,8.5,False,-0.43,0,0,-1,0,0,0,-1,-1,-1,,8.07
3,FSSp4,,3.0,False,0.5,1,1,2,1,1,1,1,1,1,,3.5
4,3F,,5.3,False,0.4,1,2,1,1,0,1,0,0,0,,5.7
5,CCSp4,,3.2,False,0.43,1,0,1,1,1,1,0,1,1,,3.63
6,SlSt3,,3.3,False,0.79,2,2,2,1,1,2,2,1,1,,4.09
7,CCoSp4,,3.5,False,0.86,2,1,2,2,1,1,2,2,2,,4.36
,,,36.9,,,,,,,,,,,,,40.35
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.25,8.25,7.5,8.25,8.0,7.5,8.5,7.5,7.5,,7.79
,Transition / Linking Footwork  ,,,,1.0,6.75,7.5,7.0,7.75,7.5,7.25,7.5,7.0,7.0,,7.25
,Performance / Execution  ,,,,1.0,7.25,7.0,7.5,8.0,7.75,7.0,8.0,7.25,7.25,,7.43
,Choreography / Composition  ,,,,1.0,6.75,7.5,7.25,8.25,7.5,7.0,8.25,7.0,7.0,,7.36
,Interpretation  ,,,,1.0,7.5,7.75,7.5,7.75,7.0,7.25,8.0,7.25,7.25,,7.46
,,,,,,,,,,,,,,,,37.29
