9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Nan SONG,CHN,5,62.88,33.83,29.05,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+3T,,10.1,False,-0.4,-1,0,-1,-1,0,0,-1,-1,1,,9.7
2,3A,,8.5,False,0.86,1,1,1,1,0,1,1,0,2,,9.36
3,FCSp3,,2.8,False,-0.09,0,0,0,-1,-1,-1,0,0,0,,2.71
4,3F,e,5.3,False,-1.1,-2,-2,-1,-1,-2,-1,-2,-2,-1,,4.2
5,CSSp4,,3.0,False,0.29,0,1,0,1,1,0,-1,1,1,,3.29
6,SlSt2,,2.3,False,0.36,1,1,0,0,1,1,0,1,1,,2.66
7,CCoSp1,,2.0,False,-0.09,0,0,0,-1,-2,-1,0,0,0,,1.91
,,,34.0,,,,,,,,,,,,,33.83
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,6.0,6.5,5.75,5.75,6.25,5.75,6.0,5.75,6.75,,6.0
,Transition / Linking Footwork  ,,,,1.0,5.75,5.75,5.25,6.0,6.0,4.5,5.0,5.5,6.5,,5.61
,Performance / Execution  ,,,,1.0,6.25,6.25,5.5,5.5,6.5,5.5,5.25,5.5,7.25,,5.86
,Choreography / Composition  ,,,,1.0,6.25,6.0,5.5,6.0,6.0,5.25,5.25,5.5,7.0,,5.79
,Interpretation  ,,,,1.0,6.0,6.25,5.25,5.5,6.75,5.0,5.0,5.75,6.75,,5.79
,,,,,,,,,,,,,,,,29.05
