9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Kanako MURAKAMI,JPN,6,56.1,29.81,26.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T<+3T,<,7.0,False,-0.1,0,0,0,0,-1,-1,1,0,0,,6.9
2,3F,,5.3,False,0.1,0,0,0,0,1,-1,0,1,0,,5.4
3,LSp4,,2.7,False,0.5,0,1,1,1,1,1,1,1,1,,3.2
4,2A,,3.3,False,0.36,1,1,1,1,2,0,0,0,1,,3.66
5,FSSp4,,3.0,False,0.14,0,0,1,1,0,0,0,0,1,,3.14
6,SlSt3,,3.3,False,0.14,0,0,1,1,0,0,0,0,1,,3.44
7,CCoSp4,,3.5,False,0.57,1,0,2,1,1,2,1,1,1,,4.07
,,,28.1,,,,,,,,,,,,,29.81
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,6.25,6.75,7.25,6.75,6.5,6.25,6.75,6.75,,6.61
,Transition / Linking Footwork  ,,,,0.8,6.25,4.75,6.0,6.75,6.5,6.0,6.0,6.0,6.5,,6.18
,Performance / Execution  ,,,,0.8,6.5,7.0,6.75,7.25,7.0,6.0,6.5,6.75,7.0,,6.79
,Choreography / Composition  ,,,,0.8,6.5,5.5,6.75,7.25,7.0,6.25,6.5,6.5,6.75,,6.61
,Interpretation  ,,,,0.8,6.5,6.0,7.0,7.5,6.75,6.5,6.5,6.75,6.75,,6.68
,,,,,,,,,,,,,,,,26.29
