ISU GP NHK Trophy 2010,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Daisuke TAKAHASHI JPN  12,,156.75  74.17,,83.58,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30  1.00 1 1 1,,1 1 2 1,,1 0,11.30,
2 3A  8.50  1.00 1 2 1,,1 1 1 1,,1 1,9.50,
3 3Lo  5.10 -0.50 -1 -1 0,,-1 -1 -1 0,,-1 0,4.60,
4 FCCoSp3  3.00  0.14 0 0 1,,0 0 0 1,,0 1,3.14,
"",,Info,,,,Info
5 CiSt2  2.30  1.14 2 3 3,,1 3 2 2,,2 2,3.44,
6 3F+2T e  7.37 x -0.60 -1 -1 0,,-1 -1 -1 0,,-1 -1,6.77,
7 3A+2T  10.89 x  0.57 1 1 0,,1 0 1 0,,1 0,11.46,
8 FLSp3  2.90  0.14 0 0 1,,1 1 0 0,,0 0,3.04,
9 3Lz  6.60 x  0.60 1 0 1,,0 1 1 1,,1 1,7.20,
10 1S  0.44 x -0.01 0 0 -3,,0 0 0 0,,0 -1,0.43,
11 3Lz+2Lo< <  8.03 x -2.10 -3 -3 -3,,-3 -3 -3 -3,,-3 -3,5.93,
12 ChSt1  2.00  2.00 2 2 2,,1 2 2 2,,2 2,4.00,
13 CCoSp3  3.00  0.36 1 0 0,,1 1 0 1,,1 1,3.36,
70.43,,,,,74.17,
Program Components Factor,,,,,,
Skating Skills  2.00 8.25 8.25 8.25,,8.50 8.25 8.50 8.50,,8.50 8.50,8.39,
Transition / Linking Footwork  2.00 8.00 7.75 8.00,,7.50 8.00 8.00 7.75,,8.25 8.00,7.93,
Performance / Execution  2.00 9.00 8.50 8.50,,8.25 8.50 8.00 8.00,,8.50 8.25,8.36,
Choreography / Composition  2.00 8.50 8.25 8.25,,8.75 8.50 8.50 8.50,,8.50 8.75,8.50,
Interpretation  2.00 8.75 9.00 8.25,,8.25 8.75 8.50 8.25,,8.75 9.00,8.61,
Judges Total Program Component Score (factored),,,,,83.58,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Florent AMODIO FRA  9,,143.76  73.74,,70.02,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50  0.86 0 1 1,,1 1 1 1,,2 0,9.36,
2 3A+2T  9.90  1.29 1 0 2,,1 1 2 1,,2 1,11.19,
3 3Lo  5.10  0.30 1 0 1,,0 0 0 0,,1 1,5.40,
4 CiSt2  2.30  0.79 1 1 1,,2 1 2 2,,2 2,3.09,
5 FSSp3  2.60  0.43 1 1 2,,1 1 0 0,,1 1,3.03,
6 3S+3T  9.13 x  0.70 1 0 1,,1 1 1 1,,1 1,9.83,
7 3Lz  6.60 x  0.60 0 1 1,,1 1 0 1,,1 1,7.20,
8 3F e  5.83 x -0.50 -1 -1 -1,,-1 0 -2 0,,-1 0,5.33,
9 3Lz+2T  8.14 x  0.00 0 0 0,,0 0 0 0,,0 0,8.14,
10 1A  1.21 x  0.00 0 0 0,,0 0 0 0,,0 0,1.21,
11 ChSt1  2.00  1.29 1 2 1,,1 2 1 1,,3 1,3.29,
12 CCoSp4  3.50  0.57 1 1 2,,2 1 0 2,,0 1,4.07,
