9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Elena ILINYKH / Nikita KATSALAPOV,RUS,2,49.14,26.98,23.16,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw4,,6.0,False,1.0,2,2,2,2,2,2,2,3,1,,7.0
2,GW1Se3,,5.0,False,0.07,0,0,1,0,0,0,0,1,0,,5.07
3,GW2Se3,,7.0,False,0.07,0,0,0,0,0,1,1,0,-1,,7.07
4,SlLi1,,1.5,False,-0.73,-3,-2,-1,-3,-2,-3,-2,-2,-1,,0.77
5,NtMiSt3,,6.5,False,0.57,0,0,2,1,0,1,1,1,0,,7.07
6,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,26.0,,,,,,,,,,,,,26.98
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.0,6.0,6.25,6.5,5.5,6.0,6.25,5.75,6.0,,6.04
,Linking Footwork / Movement  ,,,,0.7,6.75,5.75,5.5,5.75,5.25,6.25,5.0,5.25,5.5,,5.61
,Performance  ,,,,0.7,5.5,5.5,5.5,6.5,5.0,5.75,5.0,5.5,4.75,,5.39
,Choreography  ,,,,0.8,6.75,5.75,5.0,6.25,5.0,6.75,6.25,6.25,5.5,,5.96
,Interpretation / Timing  ,,,,1.0,6.25,6.0,6.25,5.75,5.25,6.25,5.5,5.75,5.5,,5.86
,,,,,,,,,,,,,,,,23.16
Deduction, Falls,-1.0
