9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,Alexe GILLES,USA,4,77.6,36.79,42.81,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz<,<,4.2,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.1
2,A,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3,3F+1T<,<,5.6,False,-1.5,-2,-3,-2,-2,-2,-2,-3,-2,-2,,4.1
4,3Lo,,5.1,False,-2.0,-3,-3,-3,-2,-3,-3,-3,-3,-2,,3.1
5,FSSp4,,3.0,False,0.07,-1,0,0,1,2,0,0,0,0,,3.07
6,LSp3,,2.4,False,0.36,0,1,0,1,1,1,0,1,1,,2.76
7,ChSp1,,2.0,False,0.57,1,0,0,0,1,1,1,0,1,,2.57
8,3T+2T+2Lo,,8.03,True,-0.4,-1,-1,0,-2,0,0,-1,0,-1,,7.63
9,2A<+2T,<,4.07,True,-0.43,-1,-1,0,0,-1,-1,-1,-2,-1,,3.64
10,SlSt3,,3.3,False,0.43,0,1,1,1,1,1,0,1,1,,3.73
11,3S<,<,3.19,True,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.09
12,CCoSp3,,3.0,False,0.0,0,0,1,0,0,0,0,0,0,,3.0
,,,43.89,,,,,,,,,,,,,36.79
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.5,5.0,5.0,6.0,5.5,5.75,5.75,5.0,5.5,,5.43
,Transition / Linking Footwork  ,,,,1.6,5.5,5.0,5.0,5.75,5.5,5.25,5.5,5.5,4.75,,5.32
,Performance / Execution  ,,,,1.6,5.75,5.0,5.25,5.0,5.5,5.5,5.0,5.0,5.0,,5.18
,Choreography / Composition  ,,,,1.6,5.75,5.25,5.25,5.5,5.25,5.5,5.75,5.75,5.0,,5.46
,Interpretation  ,,,,1.6,5.5,5.0,5.25,5.25,5.25,5.75,5.25,5.5,5.5,,5.36
,,,,,,,,,,,,,,,,42.81
Deduction, Falls,-2.0
