9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,Brooke Elizabeth FRIELING / Lionel RUMI,ISR,1,44.43,24.14,20.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,GW1Se3,,5.0,False,-0.29,-2,0,1,0,0,-2,-1,0,-1,,4.71
2,GW2Se2,,6.0,False,-0.21,-2,-1,0,0,0,-1,-1,0,0,,5.79
3,STw3,,5.0,False,-0.43,-1,-1,0,-1,-1,0,-2,-1,-1,,4.57
4,NtMiSt2,,5.0,False,-0.14,0,0,0,-1,0,0,-1,1,0,,4.86
5,SlLi4,,4.0,False,0.21,1,0,1,0,0,0,0,2,1,,4.21
6,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,25.0,,,,,,,,,,,,,24.14
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,3.5,5.75,5.5,5.0,5.5,4.5,4.75,5.25,5.5,,5.14
,Linking Footwork / Movement  ,,,,0.7,3.0,5.5,5.0,4.75,5.0,4.25,4.75,5.0,5.25,,4.86
,Performance  ,,,,0.7,3.75,5.5,5.25,5.0,5.25,4.5,5.0,5.25,5.0,,5.04
,Choreography  ,,,,0.8,3.25,5.75,5.25,5.25,5.25,4.5,5.0,5.5,5.5,,5.18
,Interpretation / Timing  ,,,,1.0,3.0,5.75,5.25,5.25,5.25,4.25,5.0,5.5,5.25,,5.11
,,,,,,,,,,,,,,,,20.29
