9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Sarah HECKEN,GER,13,103.1,53.88,50.22,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.2,False,0.8,2,1,1,0,1,1,1,2,1,,9.0
2,3F,,5.3,False,-0.1,0,0,0,0,-1,-1,0,0,0,,5.2
3,2A,,3.3,False,0.5,1,1,0,1,1,1,1,1,1,,3.8
4,3Lo<<,<<,1.8,False,-0.9,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.9
5,LSp3,,2.4,False,0.14,0,1,0,0,1,0,0,1,0,,2.54
6,3S+2T+2T,,7.7,True,0.7,1,1,1,0,1,1,1,2,1,,8.4
7,ChSp1,,2.0,False,0.29,0,1,0,0,0,1,0,0,1,,2.29
8,3S,,4.62,True,0.6,1,1,1,0,0,1,1,1,1,,5.22
9,2A+2T,,5.17,True,0.43,1,0,1,1,0,1,1,1,1,,5.6
10,FCSp4,,3.2,False,0.29,1,1,0,0,0,1,0,1,1,,3.49
11,SlSt3,,3.3,False,0.5,1,1,1,1,1,1,0,2,1,,3.8
12,CCoSp4,,3.5,False,0.14,0,0,-1,0,1,0,0,1,1,,3.64
,,,50.49,,,,,,,,,,,,,53.88
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.5,6.5,6.0,6.25,6.25,6.25,6.75,6.5,6.5,,6.39
,Transition / Linking Footwork  ,,,,1.6,6.25,6.0,5.25,6.0,5.75,5.75,5.75,6.75,6.25,,5.96
,Performance / Execution  ,,,,1.6,6.25,6.5,6.25,6.25,6.25,6.0,6.25,6.75,6.5,,6.32
,Choreography / Composition  ,,,,1.6,6.0,6.5,6.0,6.25,6.25,5.75,6.5,6.5,6.5,,6.29
,Interpretation  ,,,,1.6,6.5,6.5,6.25,6.25,6.5,5.75,6.5,6.5,6.75,,6.43
,,,,,,,,,,,,,,,,50.22
Deduction, Falls,-1.0
