9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
14,Denis TEN,KAZ,18,138.99,71.05,69.94,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,5.5
2,3Lz+3T,,10.1,False,0.7,1,1,0,1,1,1,2,1,1,,10.8
3,3S,,4.2,False,0.9,1,1,2,1,2,1,1,2,1,,5.1
4,3F,,5.3,False,0.7,1,1,2,1,2,0,1,1,0,,6.0
5,FSSp4,,3.0,False,0.79,1,2,1,2,2,1,2,1,2,,3.79
6,CiSt3,,3.3,False,0.79,2,0,2,2,1,2,1,2,1,,4.09
7,3A<+SEQ,<,5.28,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.28
8,3Lo,,5.61,True,0.9,2,1,2,1,1,1,1,2,1,,6.51
9,3Lz,,6.6,True,0.6,1,1,2,1,0,0,1,1,1,,7.2
10,2A+2T+2T,,6.71,True,0.14,0,0,0,0,1,0,1,1,0,,6.85
11,FCCoSp4,,3.5,False,0.86,0,1,2,2,2,2,2,1,2,,4.36
12,CCoSp4,,3.5,False,0.93,1,2,2,1,2,3,2,1,3,,4.43
13,ChSt1,,2.0,False,2.14,2,1,2,2,2,2,3,3,2,,4.14
,,,67.6,,,,,,,,,,,,,71.05
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,7.0,7.5,7.75,7.25,6.75,6.75,7.75,7.25,7.0,,7.21
,Transition / Linking Footwork  ,,,,2.0,6.75,6.5,6.5,6.5,6.5,6.5,7.0,6.0,7.25,,6.61
,Performance / Execution  ,,,,2.0,7.0,6.75,6.75,7.25,7.0,7.0,7.5,6.25,7.5,,7.04
,Choreography / Composition  ,,,,2.0,6.75,6.25,7.0,7.25,6.75,7.0,7.75,7.25,7.5,,7.07
,Interpretation  ,,,,2.0,6.75,6.5,6.75,7.25,7.25,7.25,7.5,6.25,7.75,,7.04
,,,,,,,,,,,,,,,,69.94
Deduction, Falls,-2.0
