9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
14,Richard DORNBUSH,USA,8,102.95,41.49,62.46,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T,,4.1,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.0
2,3Lz,,6.0,False,0.1,-1,0,0,1,0,0,1,-1,1,,6.1
3,1A,,1.1,False,0.0,0,0,0,0,0,0,1,0,0,,1.1
4,SlSt4,,3.9,False,0.8,1,1,1,2,0,1,1,1,2,,4.7
5,FCoSp2,,2.0,False,0.36,0,1,1,1,0,1,1,0,2,,2.36
6,1A,,1.21,True,0.0,0,0,0,0,0,0,1,0,0,,1.21
7,3S+2A+SEQ,,6.6,True,0.6,1,2,1,1,0,1,1,0,1,,7.2
8,CSSp4,,3.0,False,0.5,1,1,1,1,1,1,1,1,2,,3.5
9,3Lz+SEQ,,5.28,True,0.8,2,2,0,2,0,1,2,0,1,,6.08
10,1F,,0.55,True,-0.04,-1,-1,0,0,0,0,-1,0,-1,,0.51
11,ChSt1,,2.0,False,0.9,1,1,1,1,1,2,2,1,3,,2.9
12,1Lo,,0.55,True,-0.01,0,-2,0,0,0,0,-1,0,0,,0.54
13,CCoSp3,,3.0,False,0.29,1,0,1,1,0,1,0,0,1,,3.29
,,,39.29,,,,,,,,,,,,,41.49
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,6.0,6.0,6.0,6.5,6.75,6.25,6.5,6.5,6.75,,6.36
,Transition / Linking Footwork  ,,,,2.0,5.25,5.0,5.75,6.0,6.5,6.25,6.25,6.25,7.0,,6.04
,Performance / Execution  ,,,,2.0,5.25,5.0,6.0,6.5,6.25,6.0,6.0,6.25,6.75,,6.04
,Choreography / Composition  ,,,,2.0,6.0,5.75,6.0,6.75,6.25,6.5,7.0,6.5,7.75,,6.43
,Interpretation  ,,,,2.0,5.25,5.0,6.0,6.5,6.75,6.75,7.0,6.25,7.75,,6.36
,,,,,,,,,,,,,,,,62.46
Deduction,Falls,-1.0
