ISU GP Cup of China 2011,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Carolina KOSTNER ITA  10,120.26  56.95,,63.31,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lo  5.10  1.00 1 2 1,2 2 1 2,,1 1,6.10,
2 3F  5.30 -0.30 -1 0 0,-1 -1 0 -1,,0 0,5.00,
3 ChSp1  2.00  1.40 2 2 2,2 2 2 2,,1 2,3.40,
4 2A  3.30  0.29 0 1 1,1 0 0 1,,0 1,3.59,
"",,,Info,,Info
5 FCSp4  3.20  0.57 1 1 1,1 1 2 2,,1 1,3.77,
6 2A+2T  5.06 x  0.36 0 1 1,2 0 0 1,,1 1,5.42,
7 3T+2T  5.94 x  0.70 1 1 1,1 1 2 0,,1 1,6.64,
8 3S  4.62 x  0.70 1 2 1,1 0 2 1,,1 0,5.32,
9 3S+2T+1T  6.49 x -0.80 -1 -2 -1,-1 -2 0 -1,,0 -2,5.69,
10 SlSt3  3.30  0.93 2 3 2,1 1 2 2,,2 2,4.23,
11 FCCoSp4  3.50  0.29 1 0 1,1 0 1 1,,0 0,3.79,
12 CCoSp4  3.50  0.50 1 1 1,1 0 2 1,,1 1,4.00,
51.31,,,,56.95,
Program Components Factor,,,,,
Skating Skills  1.60 8.25 8.50 8.00,8.25 7.00 8.00 8.00,,7.75 8.00,8.04,
Transition / Linking Footwork  1.60 7.75 7.50 7.75,8.00 6.50 8.25 7.75,,7.00 7.50,7.61,
Performance / Execution  1.60 8.00 7.75 8.00,8.25 6.75 8.00 7.75,,8.00 7.75,7.89,
Choreography / Composition  1.60 8.25 8.50 8.00,8.25 6.25 7.75 8.00,,8.25 8.00,8.07,
Interpretation  1.60 8.50 8.50 7.75,7.75 7.00 7.75 8.00,,8.00 8.00,7.96,
Judges Total Program Component Score (factored),,,,63.31,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Mirai NAGASU USA  9,112.26  55.64,,56.62,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lo+2T  6.40  0.80 1 1 1,1 2 1 1,,2 1,7.20,
2 2A+2T  4.60  0.50 0 1 1,2 2 1 0,,1 1,5.10,
3 ChSp1  2.00  1.00 1 1 1,2 2 2 1,,1 2,3.00,
4 3Lz<+2T+2Lo e  7.30 -0.90 0 -1 -2,0 -3 -2 -1,,-2 -1,6.40,
5 FCSp4  3.20  0.50 1 0 1,2 1 2 0,,1 1,3.70,
6 3Lz< e  4.62 x -0.90 0 -1 -2,0 -1 -2 -1,,-2 -2,3.72,
7 3T  4.51 x  0.60 0 1 1,1 2 1 0,,1 1,5.11,
8 3Lo  5.61 x  0.90 1 1 2,1 2 1 0,,2 1,6.51,
9 2A  3.63 x  0.43 0 1 1,1 1 1 0,,1 1,4.06,
10 SlSt3  3.30  0.43 0 1 1,1 2 1 1,,0 1,3.73,
11 CCoSp4  3.50  0.71 1 1 1,2 2 2 1,,2 1,4.21,
12 LSp3  2.40  0.50 0 1 1,1 2 1 1,,1 1,2.90,
51.07,,,,55.64,
Program Components Factor,,,,,
Skating Skills  1.60 6.75 7.00 7.50,7.50 6.75 7.25 6.75,,7.50 7.25,7.14,
Transition / Linking Footwork  1.60 6.50 6.50 7.75,7.50 6.75 7.00 6.50,,7.25 7.00,6.93,
