9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Christina GAO,USA,5,51.99,29.34,23.65,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+3T,,9.4,False,0.5,0,1,0,1,2,0,1,0,2,,9.9
2,2A,,3.3,False,-1.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.8
3,3Lz,e,6.0,False,-0.6,0,-1,-1,-1,-1,-1,0,-1,-2,,5.4
4,LSp3,,2.4,False,0.14,0,0,0,0,1,0,1,0,1,,2.54
5,FSSp4,,3.0,False,0.1,-1,0,0,0,1,-1,1,0,1,,3.1
6,SlSt2,,2.6,False,0.14,1,1,0,0,1,0,0,0,0,,2.74
7,CCoSp4,,3.5,False,0.36,0,1,1,0,1,1,1,0,1,,3.86
,,,30.2,,,,,,,,,,,,,29.34
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.5,6.0,5.75,6.25,6.5,5.75,5.25,6.5,6.0,,5.96
,Transition / Linking Footwork  ,,,,0.8,5.25,6.0,5.5,5.75,6.25,5.5,5.0,6.25,5.75,,5.71
,Performance / Execution  ,,,,0.8,5.75,5.5,6.0,6.0,6.25,5.75,4.5,6.25,6.25,,5.93
,Choreography / Composition  ,,,,0.8,5.75,5.75,6.0,5.75,6.5,5.75,5.25,6.5,6.25,,5.96
,Interpretation  ,,,,0.8,5.75,5.75,6.25,6.0,6.5,5.75,5.0,6.25,6.25,,6.0
,,,,,,,,,,,,,,,,23.65
Deduction,Falls,-1.0
