ISU GP Cup of China 2011,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Yuko KAVAGUTI / Alexander SMIRNOV RUS  8,64.45  34.47,,30.98,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T  4.10  0.70 1 1 1,1 0 1 1,,1 1,4.80,
2 3LzTw2  5.40  0.80 1 1 2,2 -1 1 2,,1 0,6.20,
3 3LoTh  5.00  1.20 2 2 1,2 1 2 0,,2 2,6.20,
4 SlSt3  3.30  0.86 1 2 2,2 1 1 2,,2 2,4.16,
Info,,,Info,,Info
5 3Li4  4.00  1.00 2 2 2,2 1 2 2,,2 3,5.00,
6 FiDs4  3.50  0.10 1 2 0,0 0 0 0,,-1 0,3.60,
7 PCoSp4  4.50  0.01 1 1 1,-1 -1 0 -2,,0 -1,4.51,
29.80,,,,34.47,
Program Components Factor,,,,,
Skating Skills  0.80 7.75 7.50 7.75,8.25 7.75 7.75 7.50,,8.50 7.75,7.79,
Transition / Linking Footwork  0.80 7.50 7.25 7.50,7.50 7.50 7.50 7.00,,8.00 7.50,7.46,
Performance / Execution  0.80 7.75 7.50 7.75,7.75 8.00 8.00 7.00,,8.50 8.00,7.82,
Choreography / Composition  0.80 8.00 7.50 8.00,8.00 7.50 7.75 7.00,,8.50 8.25,7.86,
Interpretation  0.80 7.50 7.75 8.25,7.75 7.75 7.50 6.75,,8.50 8.00,7.79,
Judges Total Program Component Score (factored),,,,30.98,
Deductions: Time violation: -1.00,,,,-1.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Kirsten MOORE-TOWERS / Dylan MOSCOVITCH CAN  6,60.78  32.63,,28.15,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3LzTw1  5.00  0.40 1 0 0,0 1 1 2,,0 1,5.40,
2 3T  4.10 -0.20 0 0 0,-1 0 0 -1,,-1 0,3.90,
3 3LoTh  5.00  0.60 2 0 1,-1 1 1 2,,0 1,5.60,
4 3Li4  4.00  0.50 1 1 1,1 1 1 2,,1 1,4.50,
5 FiDs3  3.20  0.50 1 0 0,0 1 1 1,,1 1,3.70,
6 SlSt4  3.90  0.70 1 0 1,1 1 1 1,,1 1,4.60,
7 PCoSp4  4.50  0.43 1 1 1,1 1 0 1,,0 1,4.93,
29.70,,,,32.63,
Program Components Factor,,,,,
Skating Skills  0.80 7.25 6.75 6.75,7.50 7.00 7.25 7.00,,7.00 7.50,7.11,
Transition / Linking Footwork  0.80 7.00 6.50 6.50,7.00 6.75 6.75 6.75,,7.00 6.75,6.79,
Performance / Execution  0.80 7.50 6.75 6.50,7.25 7.00 7.50 7.00,,7.25 7.25,7.14,
Choreography / Composition  0.80 7.25 7.00 6.75,7.00 7.00 7.25 6.50,,7.50 7.00,7.04,
Interpretation  0.80 7.25 7.00 6.50,6.75 7.00 7.50 7.00,,7.75 7.25,7.11,
Judges Total Program Component Score (factored),,,,28.15,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Dan ZHANG / Hao ZHANG CHN  4,60.57  30.77,,29.80,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3LoTh  5.00  1.70 2 2 3,2 3 2 3,,3 2,6.70,
2 3LzTw2  5.40  1.40 2 2 2,2 3 2 1,,2 2,6.80,
