9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Patrick CHAN,CAN,6,86.63,44.19,43.44,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T+3T,,14.4,False,-2.29,-1,-3,-2,-1,-3,-2,-2,-3,-3,,12.11
2,3A,,8.5,False,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,,7.5
3,CCoSp3,,3.0,False,0.93,2,2,1,2,2,1,2,2,2,,3.93
4,3Lz,,6.0,False,1.6,3,1,2,3,2,2,3,2,2,,7.6
5,FSSp4,,3.0,False,0.86,3,1,2,1,2,2,1,2,2,,3.86
6,CCSp3,,2.8,False,0.79,3,1,2,1,2,1,2,1,2,,3.59
7,SlSt4,,3.9,False,1.7,3,1,3,2,2,3,3,2,2,,5.6
,,,41.6,,,,,,,,,,,,,44.19
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,9.75,8.75,9.0,9.0,7.5,8.5,9.5,8.75,9.0,,8.93
,Transition / Linking Footwork  ,,,,1.0,9.5,8.5,8.75,8.5,7.25,7.5,8.5,8.0,8.75,,8.36
,Performance / Execution  ,,,,1.0,9.5,8.5,9.0,8.5,7.5,8.25,8.75,8.5,8.75,,8.61
,Choreography / Composition  ,,,,1.0,9.5,8.5,9.0,8.75,7.5,8.75,9.5,8.5,9.0,,8.86
,Interpretation  ,,,,1.0,9.5,8.5,8.25,8.75,7.75,8.75,8.75,8.75,9.0,,8.68
,,,,,,,,,,,,,,,,43.44
Deduction,Falls,-1.0
