9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,7,63.69,33.01,31.68,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3LzTw1,,5.0,False,-1.6,-3,-2,-3,-3,-2,-2,-1,-3,-1,,3.4
2,3T,,4.1,False,1.2,2,1,1,2,2,1,2,2,2,,5.3
3,3FTh,,5.5,False,-0.2,0,0,-1,-2,0,-1,1,0,0,,5.3
4,3Li4,,4.0,False,0.71,2,1,1,0,2,2,2,1,1,,4.71
5,SlSt4,,3.9,False,1.1,2,0,1,0,2,2,2,2,2,,5.0
6,FiDs2,,3.0,False,1.3,2,2,1,2,2,2,2,2,1,,4.3
7,PCoSp4,,4.5,False,0.5,1,1,1,0,1,1,1,1,1,,5.0
,,,30.0,,,,,,,,,,,,,33.01
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.25,8.5,8.0,7.75,8.25,7.75,8.25,8.0,8.5,,8.14
,Transition / Linking Footwork  ,,,,0.8,7.75,8.0,7.5,7.25,8.0,7.25,7.75,7.25,8.5,,7.64
,Performance / Execution  ,,,,0.8,8.25,8.0,7.75,7.5,8.0,7.5,7.75,7.5,8.25,,7.82
,Choreography / Composition  ,,,,0.8,8.0,8.25,8.0,7.75,8.5,7.5,8.0,7.75,8.25,,8.0
,Interpretation  ,,,,0.8,8.0,8.0,7.5,7.75,8.5,7.75,8.25,7.75,8.5,,8.0
,,,,,,,,,,,,,,,,31.68
Deduction,Falls,-1.0
