9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Adelina SOTNIKOVA,RUS,2,57.79,31.1,27.69,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz,,6.0,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.9
2,3F+2T,,6.6,False,0.6,1,1,1,1,0,1,1,1,0,,7.2
3,FCSp4,,3.2,False,1.0,2,3,2,2,2,2,2,2,2,,4.2
4,2A,,3.3,False,0.71,1,2,1,1,1,2,2,1,2,,4.01
5,LSp4,,2.7,False,1.0,2,3,2,2,1,2,2,2,2,,3.7
6,SlSt3,,3.3,False,0.5,1,1,1,1,0,1,1,1,1,,3.8
7,CCoSp4,,3.5,False,0.79,1,2,2,2,1,1,2,1,2,,4.29
,,,28.6,,,,,,,,,,,,,31.1
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,7.25,8.25,7.75,6.75,7.0,7.25,6.75,6.75,,7.07
,Transition / Linking Footwork  ,,,,0.8,7.0,7.0,7.75,7.25,6.25,6.25,7.25,6.0,6.0,,6.71
,Performance / Execution  ,,,,0.8,7.0,7.5,8.25,7.25,6.5,7.0,7.0,6.25,6.5,,6.96
,Choreography / Composition  ,,,,0.8,6.5,8.0,7.75,7.75,6.5,5.5,7.5,6.75,6.5,,7.04
,Interpretation  ,,,,0.8,6.75,7.75,7.75,7.25,6.25,5.5,7.25,6.0,6.5,,6.82
,,,,,,,,,,,,,,,,27.69
Deduction,Falls,-1.0
