9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Yuko KAVAGUTI / Alexander SMIRNOV,RUS,6,65.17,33.63,31.54,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T,,4.1,False,0.8,1,2,1,1,2,1,1,1,1,,4.9
2,3LzTw1,,5.0,False,-0.3,1,-1,0,0,2,-2,-1,-1,-1,,4.7
3,3LoTh,,5.0,False,1.4,3,2,2,2,2,2,3,1,1,,6.4
4,SlSt2,,2.6,False,0.79,2,2,1,2,2,1,1,2,1,,3.39
5,3Li4,,4.0,False,0.93,2,2,2,2,2,2,1,2,1,,4.93
6,FiDs3,,3.2,False,0.9,0,1,2,2,2,1,1,1,1,,4.1
7,PCoSp4,,4.5,False,0.71,1,2,1,2,2,0,2,1,1,,5.21
,,,28.4,,,,,,,,,,,,,33.63
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.75,9.0,8.0,8.25,8.5,7.0,7.75,7.75,7.5,,7.93
,Transition / Linking Footwork  ,,,,0.8,7.5,8.5,7.75,7.75,8.0,7.25,7.75,7.5,7.25,,7.64
,Performance / Execution  ,,,,0.8,8.0,8.75,8.0,8.25,8.25,6.75,7.5,7.75,8.0,,7.96
,Choreography / Composition  ,,,,0.8,8.0,8.75,8.25,8.0,8.5,7.0,8.25,7.5,7.75,,8.04
,Interpretation  ,,,,0.8,8.0,8.75,8.0,7.75,8.25,6.75,8.0,7.25,7.75,,7.86
,,,,,,,,,,,,,,,,31.54
