9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Aliona SAVCHENKO / Robin SZOLKOWY,GER,15,135.03,65.9,70.13,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3FTh,,5.5,False,1.8,3,3,2,3,2,1,3,3,2,,7.3
2,3T+3T+SEQ,,6.56,False,1.4,2,2,1,2,2,2,2,2,2,,7.96
3,FiDs4,,3.5,False,0.9,1,2,1,3,1,1,1,2,1,,4.4
4,FCCoSp4,,3.5,False,0.21,0,1,-1,2,1,0,1,0,0,,3.71
5,ChSq1,,2.0,False,0.9,1,1,1,3,1,1,2,2,0,,2.9
6,3Tw2,,5.94,True,0.3,0,2,0,2,0,-1,0,1,0,,6.24
7,2S,,1.43,True,-0.6,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.83
8,5ALi4,,7.15,True,1.4,2,2,2,2,2,2,2,2,2,,8.55
9,5BLi4,,7.15,True,1.0,1,2,1,2,2,2,1,1,1,,8.15
10,PCoSp2,,3.5,False,1.0,1,2,2,3,2,2,2,2,2,,4.5
11,3Li4,,4.4,True,0.71,2,2,1,2,1,1,2,1,1,,5.11
12,3STh,,4.95,True,1.3,1,2,2,2,1,2,2,2,2,,6.25
,,,55.58,,,,,,,,,,,,,65.9
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.75,8.5,8.25,9.5,9.25,8.75,8.5,9.25,8.5,,8.79
,Transition / Linking Footwork  ,,,,1.6,8.5,8.25,8.25,9.5,9.0,8.75,8.75,9.0,8.0,,8.64
,Performance / Execution  ,,,,1.6,8.75,9.0,8.5,9.5,9.25,9.0,8.75,8.75,8.5,,8.86
,Choreography / Composition  ,,,,1.6,8.5,8.5,8.5,9.5,9.0,8.75,8.5,9.0,8.5,,8.68
,Interpretation  ,,,,1.6,8.5,9.0,8.5,9.5,9.25,9.0,8.5,9.25,8.25,,8.86
,,,,,,,,,,,,,,,,70.13
Deduction,Falls,-1.0
