9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Kexin ZHANG,CHN,19,57.56,33.14,24.42,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.2,False,1.1,2,1,1,2,0,1,2,3,2,,9.3
2,3Lz,,6.0,False,0.3,0,-2,1,0,1,0,1,1,0,,6.3
3,LSp4,,2.7,False,0.57,2,0,2,0,2,1,1,1,1,,3.27
4,2A,,3.63,True,0.07,0,0,0,1,0,0,0,1,0,,3.7
5,FCSp4,,3.2,False,0.43,2,0,1,0,0,1,1,2,1,,3.63
6,StSq3,,3.3,False,0.07,1,0,0,0,0,0,1,0,0,,3.37
7,CCoSp4,,3.5,False,0.07,2,0,0,0,0,0,1,0,0,,3.57
,,,30.53,,,,,,,,,,,,,33.14
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,6.5,6.25,5.5,6.75,6.0,6.5,6.5,6.75,,6.43
,Transition / Linking Footwork  ,,,,0.8,6.0,6.5,6.0,4.5,6.0,5.5,5.75,5.75,6.25,,5.89
,Performance / Execution  ,,,,0.8,6.25,6.5,6.0,5.5,6.25,5.75,6.0,6.0,6.25,,6.07
,Choreography / Composition  ,,,,0.8,6.5,6.75,6.25,5.25,6.5,5.5,6.0,6.25,6.0,,6.14
,Interpretation  ,,,,0.8,6.25,6.25,6.0,4.25,6.0,5.75,6.0,6.0,6.0,,6.0
,,,,,,,,,,,,,,,,24.42
