9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
19,Jin Seo KIM,KOR,11,112.97,59.75,54.22,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A+2T,,9.8,False,0.0,0,0,0,0,1,0,0,0,0,,9.8
2,3Lz,,6.0,False,0.3,0,0,0,1,1,1,0,0,1,,6.3
3,CSSp2,,2.3,False,0.14,1,0,0,1,1,0,0,0,0,,2.44
4,3Lo,,5.1,False,-0.4,-1,-1,0,-1,0,0,-1,0,-1,,4.7
5,3F,e,5.3,False,-1.2,-2,-2,-1,-2,-2,-1,-2,-2,-1,,4.1
6,CCoSp2,,2.5,False,-0.09,0,-1,0,0,1,-1,0,-1,0,,2.41
7,3S+2T,,6.05,True,-1.1,-2,-2,-2,-1,-1,-2,-1,-2,-1,,4.95
8,3A,,9.35,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,6.35
9,3T+3T,,9.02,True,0.5,0,1,0,1,2,1,0,1,1,,9.52
10,StSq2,,2.6,False,0.29,0,1,0,1,1,1,0,0,2,,2.89
11,2A,,3.63,True,0.07,0,1,0,0,0,0,0,0,1,,3.7
12,ChSq,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
13,FCSp3,,2.8,False,-0.21,-1,-1,0,-1,0,-1,-1,-1,0,,2.59
,,,64.45,,,,,,,,,,,,,59.75
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,5.5,5.75,5.75,5.5,6.75,5.75,5.75,4.75,5.25,,5.61
,Transition / Linking Footwork  ,,,,2.0,5.0,4.75,5.75,5.25,6.5,5.0,5.0,3.75,4.5,,5.04
,Performance / Execution  ,,,,2.0,5.25,6.0,6.25,5.25,6.75,5.5,5.25,4.5,5.0,,5.5
,Choreography / Composition  ,,,,2.0,5.0,5.5,6.25,5.75,6.5,5.0,5.5,4.25,5.25,,5.46
,Interpretation  ,,,,2.0,5.0,5.75,6.25,5.5,6.75,5.5,5.5,4.25,5.0,,5.5
,,,,,,,,,,,,,,,,54.22
Deduction,Falls,-1.0
