9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Ross MINER,USA,12,74.01,37.91,36.1,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2S,,1.3,False,-0.6,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
2,3A,,8.5,False,1.0,1,1,1,1,1,1,1,1,1,,9.5
3,CCoSp4,,3.5,False,0.93,2,2,2,2,2,2,1,2,1,,4.43
4,3Lz+3T,,11.11,True,0.6,1,1,1,1,1,2,0,1,0,,11.71
5,CCSp4,,3.2,False,0.5,1,1,1,1,2,1,1,1,0,,3.7
6,StSq3,,3.3,False,0.71,2,2,1,1,2,2,0,2,0,,4.01
7,FSSp4,,3.0,False,0.86,2,2,1,2,2,2,0,2,1,,3.86
,,,33.91,,,,,,,,,,,,,37.91
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.5,7.25,7.25,7.75,7.25,7.5,7.0,7.5,6.5,,7.32
,Transition / Linking Footwork  ,,,,1.0,7.0,7.0,6.75,7.0,7.25,7.0,6.75,7.25,6.0,,6.96
,Performance / Execution  ,,,,1.0,7.25,7.5,7.0,8.0,7.5,7.5,7.25,7.5,6.25,,7.36
,Choreography / Composition  ,,,,1.0,7.5,7.25,7.0,7.5,7.5,7.75,7.0,7.0,6.75,,7.25
,Interpretation  ,,,,1.0,7.25,7.0,7.25,7.5,7.75,7.25,7.0,7.25,6.0,,7.21
,,,,,,,,,,,,,,,,36.1
