ISU GP Skate Canada International 2012,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Elene GEDEVANISHVILI GEO  8,60.80  31.48,,29.32,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lz+3T< <  8.90 -0.50 0 -1 -1,-1 0 0 -1,,-1 -2,8.40,
2 3S  4.20 -0.10 0 -1 1,0 0 -1 0,,0 0,4.10,
3 FSSp3  2.60  0.86 2 2 2,2 1 3 2,,1 1,3.46,
4 2A  3.63 x  0.14 1 0 0,0 0 0 1,,1 0,3.77,
Info,,,Info,,Info
5 LSp3  2.40  0.64 2 2 1,1 1 1 2,,1 1,3.04,
6 StSq4  3.90  0.60 2 1 1,1 0 1 1,,1 -1,4.50,
7 CCoSp4  3.50  0.71 2 0 2,1 1 1 2,,1 2,4.21,
29.13,,,,31.48,
Program Components Factor,,,,,
Skating Skills  0.80 8.00 7.00 6.75,7.25 6.75 7.75 7.50,,7.25 6.75,7.18,
Transition / Linking Footwork  0.80 7.50 6.75 6.50,7.00 6.50 7.50 7.25,,7.00 6.00,6.93,
Performance / Execution  0.80 8.00 8.00 7.25,7.25 7.00 8.00 8.00,,7.50 7.00,7.57,
Choreography / Composition  0.80 8.00 7.75 6.75,7.00 6.75 8.00 7.75,,7.50 6.50,7.36,
Interpretation  0.80 8.25 8.00 7.25,7.50 7.00 8.00 7.50,,7.50 7.50,7.61,
Judges Total Program Component Score (factored),,,,29.32,
Deductions:,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Kaetlyn OSMOND CAN  1,60.56  33.21,,27.35,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+3T  8.20  1.00 1 2 2,1 2 1 1,,1 2,9.20,
2 3F  5.30  0.70 1 1 1,1 1 0 1,,1 1,6.00,
3 LSp4  2.70  0.64 1 2 1,1 2 2 1,,1 1,3.34,
4 2A  3.63 x  0.57 1 1 2,1 1 1 1,,1 2,4.20,
5 StSq3  3.30  0.50 1 1 1,0 1 1 1,,2 1,3.80,
6 FSSp3  2.60  0.00 0 0 0,0 0 0 0,,0 0,2.60,
7 CCoSp4  3.50  0.57 1 1 1,2 1 0 1,,2 1,4.07,
29.23,,,,33.21,
Program Components Factor,,,,,
Skating Skills  0.80 6.50 6.25 7.00,7.00 7.00 6.25 6.50,,6.75 6.75,6.68,
Transition / Linking Footwork  0.80 6.50 6.25 7.00,6.75 7.50 6.00 6.00,,7.25 6.50,6.61,
Performance / Execution  0.80 6.50 7.25 7.50,6.50 8.25 6.50 6.25,,7.25 7.25,6.96,
Choreography / Composition  0.80 6.50 6.75 7.25,7.00 7.25 6.25 6.00,,7.25 7.00,6.86,
Interpretation  0.80 6.75 7.25 7.25,7.00 8.25 6.25 6.75,,7.50 7.00,7.07,
Judges Total Program Component Score (factored),,,,27.35,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Ksenia MAKAROVA RUS  7,58.56  30.19,,28.37,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+3T  8.20  0.90 2 2 2,1 2 1 0,,0 1,9.10,
