9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Amelie LACOSTE,CAN,5,78.03,31.06,48.97,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz<<,e,2.1,False,-0.9,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.2
2,3F,,5.3,False,-0.9,-1,-1,-1,-1,-2,-1,-2,-2,-1,,4.4
3,3Lo,,5.1,False,-0.7,-2,-1,-1,-1,-1,-1,-1,0,-1,,4.4
4,2A,,3.3,False,-1.07,-2,-2,-2,-2,-3,-2,-2,-3,-2,,2.23
5,FCSSp4,,3.0,False,0.5,1,1,1,1,1,0,1,1,1,,3.5
6,CCoSp4,,3.5,False,0.21,0,1,1,0,0,1,1,0,0,,3.71
7,3S<<,<<,1.43,True,-0.6,-3,-3,-3,-3,-3,-3,-3,-3,-2,,0.83
8,3Lo<+SEQ,<,3.17,True,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.07
9,2S,,1.43,True,0.0,0,0,0,0,0,0,0,0,0,,1.43
10,StSq3,,3.3,False,0.36,1,0,1,1,0,1,1,0,1,,3.66
11,ChSq1,,2.0,False,0.3,1,1,0,0,1,0,1,0,0,,2.3
12,LSp2,,1.9,False,0.43,1,1,1,0,1,0,1,1,1,,2.33
,,,35.53,,,,,,,,,,,,,31.06
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.5,6.75,6.75,6.25,6.5,6.25,6.25,6.0,6.75,,6.46
,Transition / Linking Footwork  ,,,,1.6,6.0,7.0,6.5,5.75,6.0,6.5,6.0,5.75,6.0,,6.11
,Performance / Execution  ,,,,1.6,5.0,5.75,6.0,5.5,5.5,5.75,5.75,5.75,6.25,,5.71
,Choreography / Composition  ,,,,1.6,6.0,7.0,6.5,6.0,6.0,6.25,6.25,6.25,6.5,,6.25
,Interpretation  ,,,,1.6,5.75,6.5,6.75,6.0,5.75,6.0,6.0,5.75,6.5,,6.07
,,,,,,,,,,,,,,,,48.97
Deduction,Falls,-2.0
