ISU Grand Prix Final 2012,,,,,
ICE DANCE SHORT DANCEJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Meryl DAVIS / Charlie WHITE USA  6,73.20  35.15,,38.05,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 STw4  6.00  1.29 2 3 3,2 2 3 2,,3 3,7.29,
2 NtCiSt3  6.50  2.14 2 2 2,2 3 3 2,,2 2,8.64,
3 1YP3+kpNYY  6.00  0.93 1 2 2,2 2 3 2,,2 1,6.93,
4 2YP3+kpYYN  6.00  1.00 2 1 2,2 2 2 2,,2 2,7.00,
Info,,,Info,,Info
5 RoLi4  4.00  1.29 2 3 2,3 2 3 3,,2 3,5.29,
28.50,,,,35.15,
Program Components Factor,,,,,
Skating Skills  0.80 9.50 9.75 9.25,9.25 9.50 9.50 9.50,,9.50 9.25,9.43,
Linking Footwork / Movement  0.70 9.25 9.25 9.75,9.00 9.25 9.50 9.50,,9.75 9.00,9.36,
Performance  0.70 9.50 9.75 9.75,9.50 9.50 9.75 9.50,,9.50 9.25,9.57,
Choreography  0.80 9.50 9.50 10.00,9.75 9.50 9.50 9.75,,9.75 9.50,9.61,
Interpretation / Timing  1.00 9.50 9.50 9.75,9.50 9.50 9.75 9.75,,9.50 9.25,9.57,
Judges Total Program Component Score (factored),,,,38.05,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Tessa VIRTUE / Scott MOIR CAN  5,71.27  34.01,,37.26,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 1YP3+kpNYY  6.00  0.86 1 2 1,2 2 2 2,,2 1,6.86,
2 2YP4+kpYYY  7.00  0.79 1 1 1,2 2 2 2,,2 1,7.79,
3 STw3  5.00  0.93 1 3 2,2 2 2 2,,1 2,5.93,
4 NtMiSt3  6.50  1.86 1 2 2,3 3 1 2,,1 2,8.36,
5 RoLi4  4.00  1.07 2 2 2,3 2 3 2,,2 2,5.07,
28.50,,,,34.01,
Program Components Factor,,,,,
Skating Skills  0.80 8.75 9.50 9.25,9.25 9.75 9.25 9.25,,9.25 9.00,9.25,
Linking Footwork / Movement  0.70 9.00 9.00 9.00,9.00 9.50 9.00 9.25,,9.25 8.75,9.07,
Performance  0.70 9.25 9.50 9.25,9.50 9.50 9.50 9.25,,9.50 9.25,9.39,
Choreography  0.80 8.50 9.50 9.25,9.50 9.50 9.50 9.50,,9.25 9.25,9.39,
Interpretation / Timing  1.00 9.00 9.75 9.00,9.25 9.75 9.50 9.50,,9.75 9.25,9.43,
Judges Total Program Component Score (factored),,,,37.26,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Nathalie PECHALAT / Fabian BOURZAT FRA  4,68.70  33.58,,35.12,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 STw4  6.00  1.00 2 2 2,2 2 2 2,,2 2,7.00,
2 NtCiSt3  6.50  1.86 2 2 1,2 2 2 2,,2 1,8.36,
3 SlLi4  4.00  0.79 2 1 2,2 1 1 2,,1 2,4.79,
4 1YP4+kpYYY  7.00  0.86 1 2 0,2 2 2 2,,2 1,7.86,
5 2YP2+kpNYN  5.00  0.57 1 1 1,0 1 2 1,,1 2,5.57,
28.50,,,,33.58,
Program Components Factor,,,,,
