9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Mao ASADA,JPN,6,129.84,63.45,66.39,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lo,,5.1,False,1.3,2,2,1,1,2,2,2,2,3,,6.4
2,2A+3T<,<,6.2,False,-0.29,0,0,-1,-1,-1,-1,0,0,-1,,5.91
3,3F<,<,3.7,False,-0.2,0,0,-1,-1,-1,0,0,0,0,,3.5
4,3Lz,e,6.0,False,-0.5,0,-1,-1,0,-1,-1,-1,-1,0,,5.5
5,FCCoSp4,,3.5,False,1.0,2,2,1,2,2,3,2,2,2,,4.5
6,2S,,1.3,False,0.0,0,0,0,0,0,0,0,0,1,,1.3
7,3Lo+2Lo+2Lo,,9.57,True,0.8,1,1,0,2,1,2,1,0,2,,10.37
8,CCoSp4,,3.5,False,0.79,2,2,1,1,2,1,2,1,2,,4.29
9,3F+2Lo,,7.81,True,0.7,1,1,1,1,1,1,1,0,2,,8.51
10,FCSp4,,3.2,False,0.57,1,2,1,1,2,1,1,1,1,,3.77
11,StSq4,,3.9,False,1.8,3,3,2,2,2,3,3,3,2,,5.7
12,ChSq1,,2.0,False,1.7,0,2,2,2,2,3,3,3,3,,3.7
,,,55.78,,,,,,,,,,,,,63.45
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.0,8.25,7.5,8.25,8.0,8.5,8.25,8.25,8.25,,8.18
,Transition / Linking Footwork  ,,,,1.6,7.75,8.25,6.75,8.5,7.75,8.0,8.0,8.0,8.5,,8.04
,Performance / Execution  ,,,,1.6,8.5,8.5,8.0,8.5,8.0,8.75,8.5,8.75,8.0,,8.39
,Choreography / Composition  ,,,,1.6,8.25,8.25,7.75,8.5,8.25,8.5,8.5,8.5,8.5,,8.39
,Interpretation  ,,,,1.6,8.25,8.5,7.5,8.5,8.5,8.5,8.75,8.75,8.5,,8.5
,,,,,,,,,,,,,,,,66.39
