9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Kiira KORPI,FIN,3,111.52,51.34,60.18,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2T+3T,,5.4,False,0.7,1,1,1,1,1,1,2,1,1,,6.1
2,1Lz,,0.6,False,-0.06,0,0,-1,-1,-1,-1,-1,0,0,,0.54
3,3F,,5.3,False,0.5,0,1,1,1,0,1,0,1,1,,5.8
4,FSSp4,,3.0,False,0.86,1,2,2,1,2,2,1,2,2,,3.86
5,3Lo+2T,,6.4,False,0.0,0,0,0,0,-1,0,1,0,0,,6.4
6,3S+2T+1Lo,,6.6,True,0.1,0,0,0,1,0,0,1,0,0,,6.7
7,2Lo,,1.98,True,0.0,0,0,0,0,-1,0,0,0,0,,1.98
8,LSp3,,2.4,False,0.5,1,2,2,0,1,1,0,1,1,,2.9
9,StSq4,,3.9,False,1.2,2,2,1,2,2,1,0,2,2,,5.1
10,2A,,3.63,True,0.5,1,2,1,1,0,1,1,1,1,,4.13
11,ChSq1,,2.0,False,1.4,2,3,2,1,2,1,2,3,2,,3.4
12,CCoSp4,,3.5,False,0.93,2,2,2,1,2,1,2,2,2,,4.43
,,,44.71,,,,,,,,,,,,,51.34
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.5,7.75,7.5,7.25,7.75,7.5,7.75,7.5,7.75,,7.61
,Transition / Linking Footwork  ,,,,1.6,6.75,8.0,7.25,6.25,7.0,7.25,7.25,7.25,7.5,,7.18
,Performance / Execution  ,,,,1.6,7.25,7.75,7.25,7.5,7.5,7.75,7.5,7.0,7.75,,7.5
,Choreography / Composition  ,,,,1.6,7.25,8.0,7.5,7.5,7.75,8.0,7.5,7.25,8.0,,7.64
,Interpretation  ,,,,1.6,7.75,7.5,7.0,7.75,7.75,7.75,7.75,7.5,8.0,,7.68
,,,,,,,,,,,,,,,,60.18
