9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Ekaterina RIAZANOVA / Ilia TKACHENKO,RUS,6,87.8,41.38,46.42,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CuLi4,,4.0,False,0.79,1,1,1,2,2,2,2,1,2,,4.79
2,DiSt2,,5.0,False,0.71,0,1,2,0,1,1,-1,1,1,,5.71
3,RoLi4,,4.0,False,1.07,1,2,3,2,3,2,2,2,2,,5.07
4,Sp3,,4.0,False,0.5,1,2,1,1,1,1,0,1,1,,4.5
5,STw3,,5.0,False,0.43,0,2,2,0,1,0,0,1,2,,5.43
6,SlLi4,,4.0,False,0.71,2,1,2,1,1,2,1,1,2,,4.71
7,CiSt2,,5.0,False,0.71,-1,1,1,0,1,1,0,1,1,,5.71
8,RoLi4,,4.0,False,0.79,1,2,2,1,2,1,1,2,2,,4.79
9,ChLi1,,0.2,False,0.47,1,-1,1,2,3,2,1,0,2,,0.67
,,,35.2,,,,,,,,,,,,,41.38
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,7.25,7.75,8.5,8.0,8.25,8.25,7.75,7.75,7.75,,7.93
,Linking Footwork / Movement  ,,,,1.75,5.5,7.5,8.0,7.5,8.0,6.75,7.25,7.25,7.75,,7.43
,Performance  ,,,,1.0,7.5,7.75,8.5,8.0,8.0,7.75,7.25,7.75,7.75,,7.79
,Choreography  ,,,,1.0,6.5,8.0,8.5,7.75,8.25,7.75,7.25,7.5,8.0,,7.79
,Interpretation / Timing  ,,,,1.0,7.25,8.0,8.25,8.25,8.25,8.0,7.0,7.75,8.0,,7.93
,,,,,,,,,,,,,,,,46.42
