9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Akiko SUZUKI,JPN,9,58.6,28.26,30.34,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.2,False,1.1,2,1,1,1,2,2,2,2,1,,9.3
2,1Lz,,0.6,False,-0.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
3,LSp3,,2.4,False,0.5,0,1,2,1,1,0,1,2,1,,2.9
4,FCSp4,,3.2,False,0.13,0,0,1,1,1,-1,1,-1,-1,,3.33
5,2A,,3.63,True,0.36,1,1,1,1,0,0,1,2,0,,3.99
6,StSq3,,3.3,False,0.93,2,1,2,2,2,2,1,2,2,,4.23
7,CCoSp4,,3.5,False,0.71,1,1,2,2,1,2,1,2,0,,4.21
,,,24.83,,,,,,,,,,,,,28.26
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.25,7.75,7.75,7.75,7.5,7.25,7.5,8.0,7.75,,7.71
,Transition / Linking Footwork  ,,,,0.8,7.75,7.0,7.5,7.25,7.5,7.75,7.25,7.25,7.5,,7.43
,Performance / Execution  ,,,,0.8,8.0,7.5,7.75,7.5,7.25,7.25,7.5,8.0,7.5,,7.57
,Choreography / Composition  ,,,,0.8,8.25,7.5,7.75,7.5,7.25,7.75,7.25,8.0,7.75,,7.64
,Interpretation  ,,,,0.8,7.75,7.25,8.0,7.75,7.0,7.5,7.5,7.5,7.75,,7.57
,,,,,,,,,,,,,,,,30.34
