9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Elena ILINYKH / Nikita KATSALAPOV,RUS,7,92.76,44.45,49.31,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw4,,6.0,False,0.57,1,1,1,2,1,2,1,0,1,,6.57
2,CuLi2,,2.5,False,0.36,1,1,1,0,1,1,0,3,0,,2.86
3,CoSp4,,5.0,False,0.64,2,1,1,2,2,2,0,0,1,,5.64
4,CiSt3,,6.5,False,1.29,2,2,1,2,1,1,-1,1,1,,7.79
5,SlLi4,,4.0,False,0.5,1,1,1,1,1,1,1,2,1,,4.5
6,RoLi4,,4.0,False,0.5,1,1,1,2,1,1,1,1,1,,4.5
7,DiSt3,,6.5,False,0.86,1,1,0,1,1,2,1,0,1,,7.36
8,RoLi4,,4.0,False,0.86,2,2,0,2,1,2,1,2,2,,4.86
9,ChLi1,,0.2,False,0.17,0,1,1,1,1,-1,0,1,0,,0.37
,,,38.7,,,,,,,,,,,,,44.45
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,8.0,8.5,9.0,9.25,8.25,9.0,8.25,7.75,7.25,,8.39
,Linking Footwork / Movement  ,,,,1.75,7.0,8.75,8.5,8.75,8.0,8.5,7.5,8.0,6.5,,8.04
,Performance  ,,,,1.0,7.75,8.75,8.75,8.75,7.25,8.5,8.0,8.0,7.75,,8.21
,Choreography  ,,,,1.0,7.5,9.0,8.75,9.25,8.0,9.0,7.5,8.25,6.75,,8.29
,Interpretation / Timing  ,,,,1.0,7.75,9.0,8.75,9.0,7.0,8.5,8.0,8.5,7.25,,8.25
,,,,,,,,,,,,,,,,49.31
Deduction,Falls,-1.0
