9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Maia SHIBUTANI / Alex SHIBUTANI,USA,5,82.65,37.79,44.86,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CoSp2,,3.0,False,0.79,2,3,2,2,1,1,1,1,2,,3.79
2,RoLi4,,4.0,False,0.86,1,2,2,2,0,1,2,2,2,,4.86
3,STw4,,6.0,False,0.57,1,2,1,1,0,2,1,1,1,,6.57
4,CuLi4,,4.0,False,0.71,2,1,2,1,1,1,1,2,2,,4.71
5,CiSt2,,5.0,False,0.29,1,0,0,0,1,0,1,0,0,,5.29
6,SlLi3,,3.5,False,0.64,1,1,1,2,1,1,2,2,1,,4.14
7,DiSt2,,5.0,False,0.14,0,1,0,-1,0,0,0,1,0,,5.14
8,RoLi2,,2.5,False,0.5,1,2,1,0,1,1,1,1,1,,3.0
9,ChLi1,,0.2,False,0.09,0,1,1,0,0,0,0,0,1,,0.29
,,,33.2,,,,,,,,,,,,,37.79
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,8.0,7.5,7.25,8.25,7.5,8.0,7.5,8.25,8.25,,7.86
,Linking Footwork / Movement  ,,,,1.75,7.25,7.75,6.25,8.0,7.0,7.5,6.75,7.5,8.0,,7.39
,Performance  ,,,,1.0,7.75,7.25,6.0,7.5,7.25,7.75,6.25,7.25,6.75,,7.14
,Choreography  ,,,,1.0,7.5,8.25,7.0,7.75,7.0,7.5,7.5,7.75,8.0,,7.57
,Interpretation / Timing  ,,,,1.0,8.0,8.0,6.5,6.5,7.25,8.0,6.75,7.75,7.5,,7.39
,,,,,,,,,,,,,,,,44.86
