9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Konstantin MENSHOV,RUS,4,76.73,42.51,34.22,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,-0.14,0,0,0,0,0,0,-1,0,-1,,8.36
2,4T+3T,,14.4,False,1.29,1,2,1,2,2,0,1,1,1,,15.69
3,3Lz,,6.0,False,0.0,0,0,0,1,0,0,0,0,0,,6.0
4,FCSp3,,2.8,False,0.14,0,0,1,0,1,0,0,0,1,,2.94
5,StSq2,,2.6,False,0.5,1,1,1,2,2,0,1,1,0,,3.1
6,CSSp4,,3.0,False,0.36,2,1,1,0,0,-1,1,1,1,,3.36
7,CCoSp3,,3.0,False,0.06,-1,1,1,0,0,-1,0,1,-1,,3.06
,,,40.3,,,,,,,,,,,,,42.51
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.5,6.75,7.75,7.25,7.25,6.25,7.5,6.5,6.5,,7.04
,Transition / Linking Footwork  ,,,,1.0,7.5,5.25,7.5,6.25,7.0,5.5,7.25,6.0,5.5,,6.43
,Performance / Execution  ,,,,1.0,8.0,6.75,8.0,7.25,7.25,6.25,7.5,6.75,6.0,,7.11
,Choreography / Composition  ,,,,1.0,7.75,6.75,7.25,7.0,7.0,6.0,7.5,6.75,5.75,,6.89
,Interpretation  ,,,,1.0,7.5,5.25,7.75,6.25,7.25,6.5,7.75,6.25,5.75,,6.75
,,,,,,,,,,,,,,,,34.22
