8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,5,62.91,31.16,31.75,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,1YP4+kpYYY,,7.0,False,0.58,1,1,2,1,1,2,1,1,,7.58
2,2YP2+kpNYN,,5.0,False,0.33,0,1,1,1,0,2,0,1,,5.33
3,STw3,,5.0,False,0.58,1,0,2,1,1,1,1,2,,5.58
4,SlLi4,,4.0,False,0.67,1,1,1,2,1,2,1,2,,4.67
5,NtMiSt3,,6.5,False,1.5,2,1,2,1,1,2,1,2,,8.0
,,,27.5,,,,,,,,,,,,31.16
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.75,7.25,8.75,8.25,7.75,8.5,7.25,7.75,,7.88
,Linking Footwork / Movement  ,,,,0.7,7.25,7.0,8.5,8.25,7.5,8.0,7.0,7.5,,7.58
,Performance  ,,,,0.7,7.75,7.25,9.0,8.5,8.0,8.75,7.25,7.75,,8.0
,Choreography  ,,,,0.8,8.0,7.25,8.75,8.5,8.0,9.0,7.5,8.0,,8.13
,Interpretation / Timing  ,,,,1.0,8.0,7.25,8.75,8.5,7.75,8.5,7.5,8.0,,8.04
,,,,,,,,,,,,,,,31.75
