9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Qing PANG / Jian TONG,CHN,6,61.96,31.5,31.46,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T,,4.1,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.0
2,3Tw2,,5.4,False,1.3,2,2,2,2,1,2,2,1,2,,6.7
3,3LoTh,,5.0,False,-0.3,-1,-2,-1,0,-1,1,1,-1,0,,4.7
4,BoDs3,,4.0,False,1.0,0,2,0,2,2,2,1,1,2,,5.0
5,4Li4,,4.0,False,0.86,1,2,2,2,1,2,2,1,2,,4.86
6,StSq4,,3.9,False,0.7,1,1,1,1,1,1,2,1,1,,4.6
7,FCCoSp3,,3.0,False,0.64,1,1,1,2,1,2,2,1,1,,3.64
,,,29.4,,,,,,,,,,,,,31.5
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.25,8.25,8.0,8.0,8.0,7.5,7.75,7.75,8.25,,8.0
,Transition / Linking Footwork  ,,,,0.8,8.0,7.75,7.5,7.5,7.75,7.0,7.75,7.5,7.75,,7.64
,Performance / Execution  ,,,,0.8,8.0,8.25,7.5,8.5,7.5,7.25,8.0,7.5,7.5,,7.75
,Choreography / Composition  ,,,,0.8,8.5,8.0,8.0,8.25,8.0,8.0,8.25,7.75,8.25,,8.11
,Interpretation  ,,,,0.8,8.25,7.75,7.75,8.0,7.75,7.5,8.0,7.5,8.0,,7.82
,,,,,,,,,,,,,,,,31.46
Deduction,Falls,-1.0
