ISU World Figure Skating Championships 2013,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Meryl DAVIS / Charlie WHITE USA  18,112.44  53.65,,58.79,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 Sp4  5.00  1.36 3 2 3,3 2 3 3,,2 3,6.36,
2 RoLi4  4.00  1.36 2 2 3,3 3 3 2,,3 3,5.36,
3 DiSt3  6.50  2.14 3 2 2,3 2 2 2,,2 2,8.64,
4 STw4  6.00  1.21 2 2 2,3 2 3 3,,3 2,7.21,
"",Info,,,,Info
5 CuLi4  4.00  1.29 2 1 3,3 3 3 2,,3 2,5.29,
6 CiSt3  6.50  2.29 2 3 2,3 2 2 2,,2 3,8.79,
7 SlLi4  4.00  1.43 3 2 3,3 3 3 2,,3 3,5.43,
8 RoLi4  4.00  1.43 3 2 3,3 2 3 3,,3 3,5.43,
9 ChLi1  0.20  0.94 2 1 3,3 2 2 2,,2 3,1.14,
40.20,,,,53.65,
Program Components Factor,,,,,
Skating Skills  1.25 9.50 9.75 9.75,10.00 9.75 9.75 9.25,,9.75 9.75,9.71,
Linking Footwork / Movement  1.75 9.75 9.75 9.50,9.75 9.50 9.50 9.25,,9.75 9.75,9.64,
Performance  1.00 10.00 10.00 9.75,10.00 10.00 10.00 9.50,,10.00 10.00,9.96,
Choreography  1.00 10.00 9.75 10.00,10.00 10.00 10.00 9.50,,10.00 10.00,9.96,
Interpretation / Timing  1.00 10.00 9.75 9.75,10.00 10.00 9.75 9.50,,9.75 10.00,9.86,
Judges Total Program Component Score (factored),,,,58.79,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Tessa VIRTUE / Scott MOIR CAN  16,111.17  52.85,,58.32,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 CuLi4  4.00  1.14 2 3 2,3 2 2 2,,2 3,5.14,
2 STw4  6.00  1.21 2 2 1,2 3 2 3,,3 3,7.21,
3 CoSp4  5.00  1.14 2 3 2,3 2 2 2,,2 3,6.14,
4 CiSt3  6.50  2.00 1 2 2,2 2 2 2,,2 2,8.50,
5 SlLi4+RoLi4  8.00  2.86 3 3 3,2 3 3 3,,2 3,10.86,
6 DiSt3  6.50  1.86 2 2 1,2 2 1 2,,2 2,8.36,
7 RoLi4  4.00  1.50 3 3 2,3 3 3 3,,3 3,5.50,
8 ChLi1  0.20  0.94 2 3 1,2 2 1 3,,3 3,1.14,
40.20,,,,52.85,
Program Components Factor,,,,,
Skating Skills  1.25 9.50 9.75 9.50,9.50 9.75 9.75 9.50,,9.25 9.75,9.61,
Linking Footwork / Movement  1.75 9.75 9.50 9.50,9.50 9.75 9.50 9.25,,9.25 9.50,9.50,
Performance  1.00 9.75 10.00 9.75,10.00 10.00 10.00 10.00,,10.00 10.00,9.96,
Choreography  1.00 10.00 10.00 10.00,9.75 9.75 9.75 9.75,,10.00 9.75,9.86,
Interpretation / Timing  1.00 10.00 9.75 9.75,9.75 10.00 10.00 9.75,,9.75 10.00,9.86,
Judges Total Program Component Score (factored),,,,58.32,
Deductions:,,,,0.00,
ISU World Figure Skating Championships 2013,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
