9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,16,149.87,76.36,74.51,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw4,,6.2,False,2.1,2,3,3,3,3,3,3,3,3,,8.3
2,3S,,4.2,False,1.4,2,2,2,1,3,2,2,2,2,,5.6
3,3T+2T,,5.4,False,1.3,1,3,2,2,2,1,2,2,2,,6.7
4,FiDs4,,3.5,False,1.4,3,2,2,2,2,2,2,2,2,,4.9
5,FCCoSp4,,3.5,False,1.21,2,3,2,2,2,2,3,3,3,,4.71
6,3LoTh,,5.5,True,2.1,3,3,3,3,3,3,3,3,3,,7.6
7,5RLi4,,7.7,True,1.5,2,3,3,2,2,2,2,2,2,,9.2
8,3STh,,4.95,True,1.5,1,2,2,3,3,2,3,2,0,,6.45
9,5BLi4,,7.15,True,1.3,1,2,2,1,2,2,3,2,2,,8.45
10,ChSq1,,2.0,False,1.4,2,2,2,2,2,2,2,2,2,,3.4
11,3Li4,,4.4,True,1.29,3,3,2,2,3,3,2,2,3,,5.69
12,PCoSp4,,4.5,False,0.86,1,1,2,1,2,2,2,2,2,,5.36
,,,59.0,,,,,,,,,,,,,76.36
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,9.5,9.5,9.0,9.25,9.5,8.75,9.5,9.5,9.75,,9.39
,Transition / Linking Footwork  ,,,,1.6,9.0,9.25,8.75,8.75,9.25,8.75,9.25,9.25,9.5,,9.07
,Performance / Execution  ,,,,1.6,9.25,9.25,9.5,9.5,9.25,9.25,9.5,9.25,10.0,,9.36
,Choreography / Composition  ,,,,1.6,9.5,9.5,9.0,9.25,9.25,8.75,9.5,9.25,9.5,,9.32
,Interpretation  ,,,,1.6,9.25,9.5,9.25,9.5,9.5,9.5,9.25,9.5,9.5,,9.43
,,,,,,,,,,,,,,,,74.51
Deduction,Falls,-1.0
