9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,18,75.84,39.7,36.14,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw4,,6.2,False,2.1,3,3,3,3,3,3,3,3,3,,8.3
2,3S,,4.2,False,-0.4,-1,0,0,-1,-1,1,-1,0,-1,,3.8
3,3LoTh,,5.0,False,2.1,3,3,3,3,3,3,3,3,3,,7.1
4,BoDs3,,4.0,False,1.4,2,2,2,2,2,2,2,2,2,,5.4
5,4Li4,,4.0,False,1.0,3,2,2,2,2,2,2,2,2,,5.0
6,StSq4,,3.9,False,1.7,3,3,2,2,3,2,2,3,2,,5.6
7,FCCoSp4,,3.5,False,1.0,2,2,2,1,2,2,2,2,2,,4.5
,,,30.8,,,,,,,,,,,,,39.7
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,9.25,9.5,9.0,8.75,9.5,9.5,9.0,9.0,8.75,,9.14
,Transition / Linking Footwork  ,,,,0.8,8.5,9.0,8.75,8.0,9.25,9.25,8.5,8.75,8.5,,8.75
,Performance / Execution  ,,,,0.8,8.75,9.5,9.0,8.75,9.25,9.25,9.25,8.75,9.0,,9.04
,Choreography / Composition  ,,,,0.8,9.0,9.25,9.0,8.5,9.25,9.5,8.75,9.25,8.75,,9.04
,Interpretation  ,,,,0.8,9.0,9.5,9.0,8.5,9.5,9.5,9.25,9.25,9.0,,9.21
,,,,,,,,,,,,,,,,36.14
