9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
16,Justyna PLUTOWSKA / Peter GERBER,POL,2,75.94,38.92,37.02,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,SlLi4+RoLi4,,8.0,False,1.86,2,3,2,2,1,2,1,2,2,,9.86
2,CiSt2,,5.0,False,0.57,1,1,0,0,1,0,0,1,1,,5.57
3,STw2,,4.0,False,-0.21,0,0,-1,0,-1,-1,0,-1,0,,3.79
4,CuLi4,,4.0,False,0.57,2,2,1,1,1,1,1,1,0,,4.57
5,Sp4,,5.0,False,0.43,1,2,1,1,1,0,1,0,1,,5.43
6,RoLi3,,3.5,False,0.5,1,2,1,1,1,1,0,1,1,,4.0
7,MiSt2,,5.0,False,0.29,1,1,1,0,0,0,0,0,0,,5.29
8,ChLi1,,0.2,False,0.21,1,2,0,0,0,1,1,1,1,,0.41
,,,34.7,,,,,,,,,,,,,38.92
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,6.5,6.75,6.0,6.25,6.0,6.25,5.75,6.0,6.25,,6.18
,Linking Footwork / Movement  ,,,,1.75,6.25,6.0,6.0,5.75,5.75,5.75,5.5,5.75,6.0,,5.86
,Performance  ,,,,1.0,7.0,7.0,6.25,6.5,6.25,6.0,6.5,6.0,6.25,,6.39
,Choreography  ,,,,1.0,7.0,7.0,6.25,6.5,6.25,6.25,6.25,6.25,6.0,,6.39
,Interpretation / Timing  ,,,,1.0,6.75,6.5,6.25,6.25,6.0,6.0,6.5,6.0,6.25,,6.25
,,,,,,,,,,,,,,,,37.02
