9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Elena ILINYKH / Nikita KATSALAPOV,RUS,20,100.97,47.28,54.69,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CuLi4+RoLi4,,8.0,False,2.71,3,2,3,3,2,2,3,3,3,,10.71
2,SlLi4,,4.0,False,1.21,3,1,2,2,2,2,3,3,3,,5.21
3,CiSt3,,6.5,False,2.0,2,2,3,2,2,1,2,2,2,,8.5
4,RoLi4,,4.0,False,1.29,2,2,3,3,2,2,3,3,3,,5.29
5,CoSp4,,5.0,False,1.0,2,2,2,2,2,1,3,2,2,,6.0
6,STw3,,5.0,False,-1.0,-1,-2,-2,-2,-2,-2,-2,-2,-2,,4.0
7,DiSt2,,5.0,False,1.43,2,2,2,1,1,0,2,1,1,,6.43
8,ChLi1,,0.2,False,0.94,3,2,2,1,2,2,3,2,3,,1.14
,,,37.7,,,,,,,,,,,,,47.28
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,9.25,9.25,9.5,9.5,8.75,8.5,8.25,9.5,9.25,,9.14
,Linking Footwork / Movement  ,,,,1.75,9.0,9.0,9.5,9.0,8.0,8.5,8.0,9.5,9.0,,8.86
,Performance  ,,,,1.0,9.5,9.25,8.75,9.25,9.25,9.0,8.5,9.5,9.25,,9.18
,Choreography  ,,,,1.0,9.5,9.0,10.0,9.5,9.5,9.0,7.75,9.5,9.5,,9.36
,Interpretation / Timing  ,,,,1.0,9.25,9.25,9.5,9.0,9.0,9.0,8.0,9.5,9.5,,9.21
,,,,,,,,,,,,,,,,54.69
Deduction,Falls,-1.0
