9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
22,Pavel IGNATENKO,BLR,20,55.99,29.6,27.39,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,-1.0,-2,-1,-1,-1,-1,0,-1,-1,-1,,7.5
2,3Lz+3T<<,<<,7.3,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,5.2
3,FCSp2,,2.3,False,-0.3,-1,-2,-2,-1,-1,0,-1,-1,0,,2.0
4,3F,e,5.3,False,-1.2,-1,-2,-3,-2,-3,-1,0,-2,-1,,4.1
5,StSq3,,3.3,False,0.21,0,0,1,1,0,1,0,1,0,,3.51
6,CSSp4,,3.0,False,0.43,1,0,1,1,2,1,1,0,1,,3.43
7,CCoSp4,,3.5,False,0.36,1,0,1,0,1,0,1,1,1,,3.86
,,,33.2,,,,,,,,,,,,,29.6
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.5,5.5,6.0,5.75,5.75,6.25,6.0,5.5,6.0,,5.79
,Transition / Linking Footwork  ,,,,1.0,5.0,5.0,5.5,5.5,4.5,6.0,5.75,5.0,5.5,,5.32
,Performance / Execution  ,,,,1.0,4.5,5.25,5.25,5.5,5.0,6.25,6.25,5.25,5.75,,5.46
,Choreography / Composition  ,,,,1.0,4.75,5.25,5.25,5.5,5.25,6.5,6.0,5.5,5.75,,5.5
,Interpretation  ,,,,1.0,4.25,5.0,5.0,5.25,4.75,6.25,6.25,5.25,5.75,,5.32
,,,,,,,,,,,,,,,,27.39
Deduction,Falls,-1.0
