9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,Maverick EGUIA,PHI,5,46.74,24.42,22.32,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+2T,,6.6,False,0.3,0,0,0,1,1,1,0,0,1,,6.9
2,3Lz,e,6.0,False,-1.8,-3,-3,-3,-3,-2,-2,-2,-3,-2,,4.2
3,FCSp2,,2.3,False,0.21,1,1,0,0,1,0,0,0,1,,2.51
4,StSq2,,2.6,False,-0.09,-2,0,-1,0,0,-1,0,0,0,,2.51
5,CSSp1,,1.9,False,-0.3,-1,-1,-2,-1,0,-1,-2,0,-1,,1.6
6,2A,,3.63,True,0.07,0,0,0,0,0,1,0,0,1,,3.7
7,CCoSp3,,3.0,False,0.0,0,0,-1,0,0,0,0,0,0,,3.0
,,,26.03,,,,,,,,,,,,,24.42
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.0,4.75,3.75,5.0,6.0,4.25,3.75,4.25,4.75,,4.54
,Transition / Linking Footwork  ,,,,1.0,4.5,4.5,4.0,4.5,5.25,4.0,3.5,4.0,4.75,,4.32
,Performance / Execution  ,,,,1.0,5.0,4.75,3.25,4.75,5.5,4.25,4.0,4.5,4.75,,4.57
,Choreography / Composition  ,,,,1.0,5.0,4.5,4.0,5.25,6.0,4.0,3.25,4.25,4.5,,4.5
,Interpretation  ,,,,1.0,4.75,4.5,3.75,5.25,6.0,3.75,3.5,4.25,4.5,,4.39
,,,,,,,,,,,,,,,,22.32
