9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Nan SONG,CHN,18,78.71,44.35,34.36,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T+3T,,14.4,False,1.0,1,1,1,1,1,1,1,1,1,,15.4
2,3A,,8.5,False,-1.71,-2,-1,-2,-2,-2,-1,-2,-1,-2,,6.79
3,CSSp4,,3.0,False,0.29,1,1,1,0,0,0,0,1,1,,3.29
4,FCSp4,,3.2,False,0.14,1,0,0,1,0,0,-1,1,0,,3.34
5,3Lz,,6.6,True,0.7,2,2,1,1,0,1,0,1,1,,7.3
6,StSq3,,3.3,False,0.64,2,2,0,1,0,2,1,1,2,,3.94
7,CCoSp4,,3.5,False,0.79,2,2,1,0,1,2,1,2,2,,4.29
,,,42.5,,,,,,,,,,,,,44.35
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.75,8.0,7.25,7.0,6.5,6.75,5.25,7.0,6.75,,7.0
,Transition / Linking Footwork  ,,,,1.0,7.25,7.25,6.75,6.5,6.25,6.5,4.5,6.5,6.5,,6.61
,Performance / Execution  ,,,,1.0,7.75,8.0,6.75,7.0,6.75,6.75,5.5,6.75,7.0,,6.96
,Choreography / Composition  ,,,,1.0,7.5,7.75,6.5,6.75,6.75,6.5,5.5,7.0,7.0,,6.86
,Interpretation  ,,,,1.0,7.5,7.75,6.75,7.0,6.5,7.0,5.25,7.0,6.75,,6.93
,,,,,,,,,,,,,,,,34.36
