9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Haven DENNEY / Brandon FRAZIER,USA,5,108.53,56.28,53.25,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw1,,5.0,False,0.5,0,1,1,0,1,-2,1,1,1,,5.5
2,3LoTh,,5.0,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.9
3,3S,,4.2,False,-0.8,-1,-1,-1,-2,-1,-2,-1,-1,-1,,3.4
4,ChSq1,,2.0,False,0.6,0,2,1,0,1,0,2,1,1,,2.6
5,2A+2A+SEQ,,5.28,False,0.21,1,0,0,0,1,0,1,1,0,,5.49
6,CCoSp1,,2.0,False,0.17,0,1,1,0,0,-1,1,-1,1,,2.17
7,FiDs4,,3.5,False,0.1,1,0,0,0,-1,0,0,1,0,,3.6
8,5ALi4,,7.15,True,0.8,1,1,1,0,2,1,1,2,1,,7.95
9,3STh,,4.95,True,0.7,1,1,1,1,1,1,1,1,1,,5.65
10,3Li4,,4.4,True,0.86,2,2,2,1,2,2,0,1,2,,5.26
11,5TLi3,,6.05,True,0.71,0,2,2,0,2,2,1,2,1,,6.76
12,PCoSp4,,4.5,False,0.5,1,1,1,0,1,1,2,1,1,,5.0
,,,54.03,,,,,,,,,,,,,56.28
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.25,6.75,7.0,6.25,7.5,6.75,6.25,7.0,6.25,,6.61
,Transition / Linking Footwork  ,,,,1.6,5.0,6.75,6.75,5.25,7.25,6.5,5.75,6.5,6.0,,6.21
,Performance / Execution  ,,,,1.6,6.75,7.0,7.25,6.25,7.5,6.75,6.75,6.75,7.0,,6.89
,Choreography / Composition  ,,,,1.6,5.75,7.0,7.5,6.25,7.75,6.75,6.75,6.75,6.75,,6.82
,Interpretation  ,,,,1.6,6.5,6.75,7.0,5.5,7.75,6.5,7.0,6.75,6.75,,6.75
,,,,,,,,,,,,,,,,53.25
Deduction,Falls,-1.0
