9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Haven DENNEY / Brandon FRAZIER,USA,7,58.57,32.82,25.75,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw1,,5.0,False,0.3,1,-1,1,1,1,0,-2,0,1,,5.3
2,3LoTh,,5.0,False,0.8,1,1,1,2,2,1,1,0,1,,5.8
3,3S,,4.2,False,-0.8,-1,-2,0,1,-2,-1,-1,-2,-1,,3.4
4,5ALi4,,6.5,False,0.7,2,1,1,1,2,1,0,0,1,,7.2
5,BiDs1,,2.8,False,-0.2,0,-1,-1,1,0,0,0,0,-1,,2.6
6,PCoSp4,,4.5,False,0.29,1,0,1,1,1,1,0,0,-1,,4.79
7,StSq3,,3.3,False,0.43,1,1,0,1,2,1,0,1,1,,3.73
,,,31.3,,,,,,,,,,,,,32.82
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,5.75,6.5,6.75,7.0,6.5,6.25,7.0,7.25,,6.61
,Transition / Linking Footwork  ,,,,0.8,5.5,5.5,5.75,6.5,5.75,5.75,7.0,6.5,7.0,,6.11
,Performance / Execution  ,,,,0.8,6.0,6.0,6.5,6.75,6.0,6.0,6.5,7.0,7.25,,6.39
,Choreography / Composition  ,,,,0.8,5.75,6.25,6.5,6.75,6.75,6.25,6.75,7.0,7.5,,6.61
,Interpretation  ,,,,0.8,5.75,6.25,6.5,7.0,5.75,6.25,6.0,7.5,7.5,,6.46
,,,,,,,,,,,,,,,,25.75
