8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Kaitlyn WEAVER / Andrew POJE,CAN,7,70.35,35.91,34.44,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,STw4,,6.0,False,1.0,2,2,2,2,3,2,2,2,,7.0
2,1FS4+kpYYY,,7.0,False,0.83,1,1,1,2,2,2,2,2,,7.83
3,2FS4+kpYYY,,7.0,False,0.67,1,2,1,1,2,1,2,0,,7.67
4,NtMiSt3,,6.5,False,1.83,1,2,2,2,2,2,2,1,,8.33
5,CuLi4,,4.0,False,1.08,2,3,2,2,3,2,2,2,,5.08
,,,30.5,,,,,,,,,,,,35.91
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.25,8.75,8.25,8.5,8.75,8.5,8.5,8.75,,8.54
,Linking Footwork / Movement  ,,,,0.7,8.0,8.75,8.5,8.25,8.75,8.5,8.5,8.5,,8.5
,Performance  ,,,,0.7,8.5,9.0,8.25,8.5,8.5,8.5,9.0,8.5,,8.58
,Choreography  ,,,,0.8,8.25,9.0,8.75,8.75,8.5,8.5,8.75,8.75,,8.67
,Interpretation / Timing  ,,,,1.0,8.25,9.0,8.5,8.75,9.0,8.5,9.0,8.5,,8.71
,,,,,,,,,,,,,,,34.44
