9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Meagan DUHAMEL / Eric RADFORD,CAN,8,121.05,54.71,66.34,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw2,,5.4,False,0.6,1,2,-1,1,1,2,1,-1,1,,6.0
2,3Lz<,<,4.2,False,-0.8,-2,-1,-2,-1,-1,-1,-1,-1,-1,,3.4
3,5RLi3,,6.5,False,0.8,1,1,1,1,1,2,2,1,1,,7.3
4,BoDs2,,3.5,False,0.6,2,1,0,0,0,2,1,1,1,,4.1
5,PCoSp1,,3.0,False,0.71,2,2,1,0,1,1,2,1,2,,3.71
6,3S+2T,,6.05,True,0.3,-1,0,1,0,1,1,0,0,1,,6.35
7,5ALi,,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8,3LoTh,,5.5,True,0.1,0,1,1,0,1,-1,-1,0,0,,5.6
9,3LzTh,,6.05,True,0.7,1,1,1,1,1,1,0,1,2,,6.75
10,4Li4,,4.4,True,0.64,1,1,1,2,2,3,1,1,0,,5.04
11,ChSq1,,2.0,False,1.1,2,1,3,1,2,2,2,1,1,,3.1
12,FCCoSp2,,2.5,False,0.86,2,2,2,1,2,2,1,1,2,,3.36
,,,49.1,,,,,,,,,,,,,54.71
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.75,9.0,8.25,8.0,8.25,8.5,8.25,8.0,8.25,,8.21
,Transition / Linking Footwork  ,,,,1.6,8.0,8.75,8.5,7.75,7.75,8.75,8.0,7.75,8.5,,8.18
,Performance / Execution  ,,,,1.6,8.25,8.75,8.25,8.0,8.0,8.5,8.0,8.25,8.5,,8.25
,Choreography / Composition  ,,,,1.6,8.5,9.0,9.0,8.0,8.0,8.75,8.25,7.75,9.0,,8.5
,Interpretation  ,,,,1.6,8.25,8.5,8.5,7.75,8.25,8.75,8.25,8.0,8.5,,8.32
,,,,,,,,,,,,,,,,66.34
