9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Denis TEN,KAZ,6,147.75,67.25,80.5,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2T,,1.3,False,0.03,0,1,0,0,1,0,0,0,0,,1.33
2,3A+3T<,<,11.4,False,-0.57,-1,-1,0,0,-1,-1,0,-1,0,,10.83
3,3A,,8.5,False,-1.86,-2,-2,-2,-2,-1,-2,-2,-2,-1,,6.64
4,StSq4,,3.9,False,1.5,2,3,2,2,2,1,2,2,3,,5.4
5,CCSp3,,2.8,False,0.5,1,1,2,0,0,1,1,1,2,,3.3
6,3F+1Lo+3S,e,11.0,True,0.1,1,-2,1,0,0,0,0,0,0,,11.1
7,3Lz+2T,,8.03,True,-0.2,0,-1,-1,0,0,-1,1,0,0,,7.83
8,3Lo,,5.61,True,0.4,1,0,1,0,1,0,1,1,0,,6.01
9,1Lz,,0.66,True,-0.11,-1,-1,-2,-1,-1,-2,0,-2,0,,0.55
10,2A,,3.63,True,0.29,0,1,1,1,0,0,1,1,0,,3.92
11,FSSp3,,2.6,False,0.57,1,1,2,1,1,1,1,2,1,,3.17
12,ChSq1,,2.0,False,1.6,2,2,2,3,2,1,2,3,3,,3.6
13,CCoSp3,,3.0,False,0.57,1,1,2,1,1,1,2,1,1,,3.57
,,,64.43,,,,,,,,,,,,,67.25
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,8.0,8.0,8.25,8.25,8.25,7.75,8.25,9.0,8.75,,8.25
,Transition / Linking Footwork  ,,,,2.0,7.5,7.5,7.75,7.5,8.25,7.5,7.5,8.25,8.5,,7.75
,Performance / Execution  ,,,,2.0,7.75,7.75,8.25,8.25,7.75,7.75,7.75,8.25,8.5,,7.96
,Choreography / Composition  ,,,,2.0,8.0,7.75,8.25,8.0,8.5,7.75,8.0,8.75,8.75,,8.18
,Interpretation  ,,,,2.0,7.5,8.0,8.25,8.25,8.0,7.75,7.75,8.75,8.75,,8.11
,,,,,,,,,,,,,,,,80.5
