ISU GP Trophee Eric Bompard 2013,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Tessa VIRTUE / Scott MOIR CAN  8,105.65  49.78,,57.87,-2.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 SlLi4  4.00  1.00 3 2 2,2 1 2 2,,2 2,5.00,
2 CiSt3  6.50  2.00 2 2 2,2 2 2 3,,2 2,8.50,
3 CuLi2  2.50  1.14 2 2 2,3 2 3 3,,1 2,3.64,
4 STw4  6.00  1.43 3 3 3,3 3 2 3,,2 3,7.43,
Info,,,Info,,Info
5 CoSp4  5.00  1.07 2 2 2,3 2 3 2,,2 2,6.07,
6 RoLi4  4.00  1.43 3 3 2,3 3 3 3,,3 2,5.43,
7 RoLi3  3.50  0.93 2 1 1,2 2 2 2,,3 2,4.43,
8 DiSt3  6.50  1.57 1 1 1,2 2 1 2,,2 2,8.07,
9 ChLi1  0.20  1.01 2 2 2,3 1 2 3,,3 3,1.21,
38.20,,,,49.78,
Program Components Factor,,,,,
Skating Skills  1.25 9.50 9.50 9.50,9.75 9.25 9.50 9.75,,9.75 9.50,9.57,
Linking Footwork / Movement  1.75 9.50 9.25 9.50,9.50 9.50 9.50 9.75,,9.75 9.50,9.54,
Performance  1.00 10.00 9.50 9.75,10.00 9.75 10.00 9.75,,9.50 9.50,9.75,
Choreography  1.00 9.75 9.25 9.50,9.75 9.50 9.75 9.75,,9.75 9.50,9.64,
Interpretation / Timing  1.00 10.00 9.50 9.75,10.00 9.50 10.00 10.00,,9.75 9.75,9.82,
Judges Total Program Component Score (factored),,,,57.87,
Deductions: Extended lifts: -2.00,,,,-2.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Elena ILINYKH / Nikita KATSALAPOV RUS  6,102.82  50.51,,52.31,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 SlLi4+RoLi4  8.00  2.86 2 3 2,3 3 3 3,,3 3,10.86,
2 SlLi4  4.00  0.93 2 2 2,2 2 1 2,,1 2,4.93,
3 CiSt3  6.50  1.43 0 2 2,1 1 2 2,,1 1,7.93,
4 RoLi4  4.00  0.93 1 2 2,2 3 2 2,,2 1,4.93,
5 CoSp4  5.00  1.00 2 2 2,2 2 2 2,,3 2,6.00,
6 STw4  6.00  1.29 2 2 3,3 3 2 3,,3 2,7.29,
7 DiSt3  6.50  1.14 1 2 1,1 1 2 1,,1 0,7.64,
8 ChLi1  0.20  0.73 1 3 2,2 3 2 1,,2 1,0.93,
40.20,,,,50.51,
Program Components Factor,,,,,
Skating Skills  1.25 8.25 9.00 8.75,9.00 8.75 9.00 8.75,,9.00 7.75,8.79,
Linking Footwork / Movement  1.75 7.75 9.00 8.50,8.50 8.00 8.50 8.50,,9.00 6.50,8.39,
Performance  1.00 8.25 9.25 9.00,9.25 9.25 9.00 8.75,,9.25 8.25,8.96,
Choreography  1.00 8.50 9.00 8.50,8.75 8.25 8.75 8.50,,9.00 8.00,8.61,
Interpretation / Timing  1.00 8.50 9.25 9.00,9.25 9.25 9.25 9.00,,9.25 8.50,9.07,
Judges Total Program Component Score (factored),,,,52.31,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Nathalie PECHALAT / Fabian BOURZAT FRA  7,100.49  48.15,,53.34,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
