9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Samantha CESARIO,USA,1,56.55,30.52,26.03,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lo+3Lo<,<,8.7,False,-0.8,-1,-1,-1,-2,0,-1,-2,-1,-1,,7.9
2,3F,,5.3,False,0.2,0,1,1,0,0,0,0,0,1,,5.5
3,LSp3,,2.4,False,0.29,1,0,0,0,1,1,1,0,1,,2.69
4,2A,,3.63,True,-0.14,0,0,0,0,0,-1,-1,-1,0,,3.49
5,FSSp4,,3.0,False,0.21,1,1,1,0,1,0,0,0,0,,3.21
6,StSq3,,3.3,False,0.36,1,2,1,0,1,1,1,0,0,,3.66
7,CCoSp4,,3.5,False,0.57,1,2,1,0,1,1,1,1,2,,4.07
,,,29.83,,,,,,,,,,,,,30.52
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,7.5,6.25,6.5,7.0,6.75,6.25,6.5,6.5,,6.57
,Transition / Linking Footwork  ,,,,0.8,6.25,6.25,6.75,6.0,7.0,6.25,5.75,6.0,6.25,,6.25
,Performance / Execution  ,,,,0.8,6.5,7.5,6.5,6.25,7.25,7.0,6.25,6.75,6.5,,6.68
,Choreography / Composition  ,,,,0.8,6.75,7.25,6.75,6.5,7.0,6.5,6.0,6.25,6.25,,6.57
,Interpretation  ,,,,0.8,6.5,7.5,6.5,6.5,6.75,6.5,6.0,6.5,6.0,,6.46
,,,,,,,,,,,,,,,,26.03
