9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Vanessa JAMES / Morgan CIPRES,FRA,5,56.78,31.49,26.29,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw2,,5.4,False,-0.3,-1,0,0,-1,1,-1,0,0,-1,,5.1
2,3T,,4.1,False,0.9,1,1,1,2,1,1,2,2,1,,5.0
3,3FTh,,5.5,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.4
4,BiDs4,,3.5,False,0.2,0,1,-1,1,0,1,0,1,-1,,3.7
5,StSq4,,3.9,False,0.7,1,1,-1,1,1,1,1,1,1,,4.6
6,5ALi3,,6.0,False,-0.8,-2,-1,-1,-1,-1,-1,-1,-2,-1,,5.2
7,PCoSp4,,4.5,False,-0.01,-1,0,1,1,0,0,0,-1,-1,,4.49
,,,32.9,,,,,,,,,,,,,31.49
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.75,6.75,6.25,7.5,6.5,7.25,6.5,6.25,7.25,,6.75
,Transition / Linking Footwork  ,,,,0.8,6.5,6.25,5.75,7.25,6.25,7.0,6.0,6.5,7.0,,6.5
,Performance / Execution  ,,,,0.8,6.5,7.0,6.0,7.0,6.5,6.75,6.25,6.0,6.75,,6.54
,Choreography / Composition  ,,,,0.8,6.5,6.5,6.0,7.5,6.0,7.5,6.0,6.5,6.75,,6.54
,Interpretation  ,,,,0.8,6.25,6.25,6.0,7.5,6.25,7.25,6.5,6.5,6.75,,6.54
,,,,,,,,,,,,,,,,26.29
Deduction,Falls,-1.0
